Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
commercialDoor1_v1NoBrass,core,door,,,"Commercial Door 1  [ddcdfa](Wood Door)",,"Industrietür 1","Puerta comercial 1","Porte de commerce 1","Porta di emergenza 1","業務用ドア1","상업용 문 1","Drzwi przedsiębiorstwa 1","Porta comercial 1","Промышленная дверь 1","Ticari Kapı 1","商业门 1","商業門 1"
commercialDoor2_v1NoBrass,core,door,,,"Commercial Door 2  [ddcdfa](Wood Door)",,"Industrietür 2","Puerta comercial 2","Porte de commerce 2","Porta di emergenza 2","業務用ドア2","상업용 문 2","Drzwi przedsiębiorstwa 2","Porta comercial 2","Промышленная дверь 2","Ticari Kapı 2","商业门 2","商業門 2"
commercialDoor4_v1NoBrass,core,door,,,"Commercial Door 3  [ddcdfa](Wood Door)",,"Industrietür 3","Puerta comercial 3","Porte de commerce 3","Porta di emergenza 3","業務用ドア3","상업용 문 3","Drzwi przedsiębiorstwa 3","Porta comercial 3","Промышленная дверь 3","Ticari Kapı 3","商业门 3","商業門 3"
houseFrontDoor1_v1NoBrass,core,door,,,"House Door 1  [ddcdfa](Wood Door)",,"Hauseingangstür 1","Puerta principal de la casa 1","Porte d'entrée de maison 1","Porta di casa 1","住宅用玄関ドア1","집 정문 1","Drzwi frontowe do domu 1","Porta da frente de casa 1","Входная дверь в дом 1","Ev Ön Kapısı 1","房屋前门 1","房屋前門 1"
houseFrontDoor2_v1NoBrass,core,door,,,"House Door 2  [ddcdfa](Wood Door)",,"Hauseingangstür 2","Puerta principal de la casa 2","Porte d'entrée de maison 2","Porta di casa 2","住宅用玄関ドア2","집 정문 2","Drzwi frontowe do domu 2","Porta da frente de casa 2","Входная дверь в дом 2","Ev Ön Kapısı 2","房屋前门 2","房屋前門 2"
manholeHatchPlayer,core,door,,,"Manhole [ddcdfa](Player Owned)",,"Kanalisationsluke","Escotilla de cloaca","Trappe d'égout","Botola della fogna","下水管ハッチ","하수도 해치","Właz do kanałów","Bueiro","Крышка канализационного люка","Lağım Kapağı","下水道门","下水道蓋"
miscironDoorVariantHelper,core,door,,,"Iron Door [ddcdfa](all types)",,"Eisentür [ddcdfa]Alle Arten","Puerta de hierro [ddcdfa]Todos los tipos","Porte en fer [ddcdfa]Tous les types","Porta di ferro [ddcdfa]Tutti i tipi","鉄扉 [ddcdfa]いろんなタイプ","철제 문 [ddcdfa]모든 유형","Żelazne drzwi [ddcdfa]Wszystkie typy","Porta de ferro [ddcdfa]Todos os tipos","Железная дверь [ddcdfa]Все типы","Demir Kapı [ddcdfa]Her türlü","铁门 [ddcdfa]所有类型","鐵門 [ddcdfa]所有類型"
miscsteelDoorVariantHelper,core,door,,,"Vault Door [ddcdfa](all types)",,"Tresortür [ddcdfa]Alle Arten","Puerta del almacén [ddcdfa]Todos los tipos","Porte de chambre forte [ddcdfa]Tous les types","Porta per camera blindata [ddcdfa]Tutti i tipi","金庫用ドア [ddcdfa]いろんなタイプ","금고 문 [ddcdfa]모든 유형","Drzwi krypty [ddcdfa]Wszystkie typy","Porta de cofre [ddcdfa]Todos os tipos","Укрепленная дверь [ddcdfa]Все типы","Kasa Kapısı [ddcdfa]Her türlü","保险库门 [ddcdfa]所有类型","金庫門 [ddcdfa]所有類型"
miscwoodDoorVariantHelper,core,door,,,"Secure Wood Door [ddcdfa](all types)",,"Gesicherte Holztür [ddcdfa]Alle Arten","Puerta de madera segura [ddcdfa]Todos los tipos","Porte en bois sécurisée [ddcdfa]Tous les types","Porta di legno sicura [ddcdfa]Tutti i tipi","鍵つき木製扉 [ddcdfa]いろんなタイプ","안전한 목재 문 [ddcdfa]모든 유형","Bezpieczne drewniane drzwi [ddcdfa]Wszystkie typy","Porta de madeira segura [ddcdfa]Todos os tipos","Прочная деревянная дверь [ddcdfa]Все типы","Emniyetli Tahta Kapı [ddcdfa]Her türlü","安全木门 [ddcdfa]所有类型","牢固的木門 [ddcdfa]所有類型"
AGFbathroomStallDoor,,,,,"Bathroom Stall Door",,"Toilettenkabine – Tür","Puerta de cubículo de baño","Porte pour cabinet de toilette","Porta da bagno","トイレの個室（ドア）","화장실 칸 문","Kabina łazienkowa – drzwi","Porta de banheiro","Дверь туалетной кабинки","Tuvalet Kabini Kapı","卫生间隔间 门","浴室隔間門"
