Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
windowESC_mode_color_tab,,UI,,,Full Color,"Full Color",UI,"Vollfarbe","Color completo","Couleur complete","Colore completo","フルカラー","풀 컬러","Pelny kolor","Cor completa","Polnyy tsvet","Tam Renk","全彩色","全彩色"
windowESC_mode_highvisibility_tab,,UI,,,High Visibility,"High Visibility",UI,"Hoher Kontrast","Alto contraste","Contraste eleve","Alto contrasto","ハイコントラスト","고대비","Wysoki kontrast","Alto contraste","Vysokaya kontrastnost","Yuksek Kontrast","高对比度","高對比度"
windowESC_color_header_motto,,UI,,,An AuroraGiggleFairy 7d2d Server,"Brought to you by HellsJanitor",UI,"","","","","","","","","","","",""
windowESC_color_header_title,,UI,,,Twilight Realm,"Dishong Tower Challenge",UI,"","","","","","","","","","","",""
windowESC_color_join_body,,UI,,,Do you dare enter the Twilight Realm?\nThe choice is yours...,"Join when ready.",UI,"","","","","","","","","","","",""
windowESC_color_join_title,,UI,,,Leave or Join,"Leave or Join",UI,"Verlassen oder Beitreten","Salir o unirse","Quitter ou rejoindre","Esci o entra","退出または参加","나가기 또는 참가","Wyjdz lub dolacz","Sair ou entrar","Выйти или войти","Ayril veya Katil","离开或加入","離開或加入"
windowESC_color_link_1_label,,UI,,,[FFFFFF]AGF's Discord[-],"[FFFFFF]HellsJanitor Discord[-]",UI,"","","","","","","","","","","",""
windowESC_color_options_screamer_off,,UI,,,[FFFFFF]Off[-],"[FFFFFF]Off[-]",UI,"[FFFFFF]Aus[-]","[FFFFFF]Apagado[-]","[FFFFFF]Desactive[-]","[FFFFFF]Disattivato[-]","[FFFFFF]オフ[-]","[FFFFFF]끔[-]","[FFFFFF]Wylaczone[-]","[FFFFFF]Desligado[-]","[FFFFFF]Выкл[-]","[FFFFFF]Kapali[-]","[FFFFFF]关[-]","[FFFFFF]關[-]"
windowESC_color_options_screamer_on,,UI,,,[FFFFFF]On[-],"[FFFFFF]On[-]",UI,"[FFFFFF]Ein[-]","[FFFFFF]Encendido[-]","[FFFFFF]Active[-]","[FFFFFF]Attivato[-]","[FFFFFF]オン[-]","[FFFFFF]켬[-]","[FFFFFF]Wlaczone[-]","[FFFFFF]Ligado[-]","[FFFFFF]Вкл[-]","[FFFFFF]Acik[-]","[FFFFFF]开[-]","[FFFFFF]開[-]"
windowESC_color_options_screamer_on_num,,UI,,,[FFFFFF]On + #[-],"[FFFFFF]On + #[-]",UI,"[FFFFFF]Ein + #[-]","[FFFFFF]Encendido + #[-]","[FFFFFF]Active + #[-]","[FFFFFF]Attivato + #[-]","[FFFFFF]オン + #[-]","[FFFFFF]켬 + #[-]","[FFFFFF]Wlaczone + #[-]","[FFFFFF]Ligado + #[-]","[FFFFFF]Вкл + #[-]","[FFFFFF]Acik + #[-]","[FFFFFF]开 + #[-]","[FFFFFF]開 + #[-]"
windowESC_color_options_screamer_title,,UI,,,Screamer Alert,"Screamer Alert",UI,"Schreier-Alarm","Alerta de chilladora","Alerte de hurleuse","Allarme strillatrice","スクリーマー警報","스크리머 경보","Alarm krzykaczki","Alerta de gritadora","Тревога крикуна","Ciglikci Alarmi","尖叫者警报","尖叫者警報"
windowESC_color_options_title,,UI,,,Options,"Options",UI,"Optionen","Opciones","Options","Opzioni","オプション","옵션","Opcje","Opcoes","Параметры","Secenekler","选项","選項"
windowESC_color_options_tracker_off,,UI,,,[FFFFFF]Off[-],"[FFFFFF]Off[-]",UI,"[FFFFFF]Aus[-]","[FFFFFF]Apagado[-]","[FFFFFF]Desactive[-]","[FFFFFF]Disattivo[-]","[FFFFFF]オフ[-]","[FFFFFF]끔[-]","[FFFFFF]Wył.[-]","[FFFFFF]Desativado[-]","[FFFFFF]Выкл.[-]","[FFFFFF]Kapali[-]","[FFFFFF]关[-]","[FFFFFF]關[-]"
windowESC_color_options_tracker_on,,UI,,,[FFFFFF]On[-],"[FFFFFF]On[-]",UI,"[FFFFFF]Ein[-]","[FFFFFF]Encendido[-]","[FFFFFF]Active[-]","[FFFFFF]Attivo[-]","[FFFFFF]オン[-]","[FFFFFF]켬[-]","[FFFFFF]Wł.[-]","[FFFFFF]Ativado[-]","[FFFFFF]Вкл.[-]","[FFFFFF]Acik[-]","[FFFFFF]开[-]","[FFFFFF]開[-]"
windowESC_color_options_tracker_title,,UI,,,Visual Entity Tracker,"Visual Entity Tracker",UI,"Visueller Entitaten-Tracker","Rastreador visual de entidades","Suivi visuel des entites","Tracciatore visivo entita","視覚エンティティトラッカー","시각적 엔티티 추적기","Wizualny tracker encji","Rastreador visual de entidades","Визуальный трекер сущностей","Gorsel Varlik Izleyici","视觉实体追踪器","視覺實體追蹤器"
windowESC_color_page_1_body,,UI,,,My name is [FFFFFF]AuroraGiggleFairy[-] and welcome to my server!\n\nI created this server to have a fun space to play 7d2d and expand my abilities as a modder:\n  - making new mods,"Welcome to the Dishong Tower Challenge.\n\nFight your way to the top of the tower, loot and craft what you need, then escape by gyrocopter.\n\nFailure is not an option.\n\nYou have [C26700]ONE[-] life. Make it count.\n\n[EDE100]1:[-] Keep [C26700]DEFAULT[-] player block damage, zombie block damage, XP gain, and similar settings. Loot should be [C26700]no higher[-] than [C26700]100%[-].\n\n[EDE100]2:[-] You may set loot [C26700]LOWER[-] than [C26700]100%[-].\nEnemy block damage may be [C26700]HIGHER[-] than [C26700]100%[-].\nPlayer block damage may be [C26700]LOWER[-] than [C26700]100%[-].",UI," welcome to my [8DB580]Twilight Realm[-]!\n\nHappy modding... erm... HUNTING... and Enjoy!\n\n- [FFFFFF]AGF[-]","Welcome to the Dishong Tower Challenge.\n\nFight your way to the top of the tower, loot and craft what you need,\nthen escape by gyrocopter. Failure is not an option.\nYou have [c26700]ONE[-] life. Make it count.\n\n[ede100]1:[-] Keep [c26700]DEFAULT[-] player block damage, zombie block damage,\nXP gain, and similar settings. Loot should be [c26700]no higher[-] than [c26700]100%[-].\n\n[ede100]2:[-] You may set loot [c26700]LOWER[-] than [c26700]100%[-].\nEnemy block damage may be [c26700]HIGHER[-] than [c26700]100%[-].\nPlayer block damage may be [c26700]LOWER[-] than [c26700]100%[-].\n\n[ede100]3:[-] You [c26700]must[-] enter Dishong Tower immediately and [c26700]cannot leave[-] after that.\n\n[ede100]4:[-] Rubble around the tower is [c26700]NOT[-] part of the tower.\nDo [c26700]NOT[-] use it to support builds or crops unless done [c26700]WITHOUT[-] touching it.\n\n[ede100]5:[-] Bridges off the building are allowed, but they must be self-supporting\nand [c26700]cannot touch the ground[-].\n\n[ede100]6:[-] You may [c26700]not[-] mine or dig under the building.\n\n[ede100]7:[-] If you die, [c26700]GAME OVER[-].\n\n[ede100]8:[-] Survive until you can craft a gyrocopter and fly to trader safety.","UI","","","","","","","","",""
