Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
bedrollAGF,,,,,"Bedroll Brown +",,"Brauner Schlafsack +","Saco de dormir marrón +","Sac de couchage marron +","Sacco a pelo marrone +","寝袋（茶色） +","침낭 갈색 +","Śpiwór — brązowy +","Saco de dormir marrom +","Коричневый спальник +","Dürülü Yatak Kahverengi +","棕色睡袋 +","棕色睡袋 +"
bedrollRedAGF,,,,,"Bedroll Red +",,"Roter Schlafsack +","Saco de dormir rojo +","Sac de couchage, rouge +","Sacco a pelo rosso +","寝袋（赤） +","침낭 빨간색 +","Śpiwór – czerwony +","Saco de dormir vermelho +","Красный спальник +","Dürülü Yatak Kırmızı +","睡袋 红色 +","紅色睡袋 +"
bedrollOrangeAGF,,,,,"Bedroll Orange +",,"Oranger Schlafsack +","Saco de dormir naranja +","Sac de couchage, orange +","Sacco a pelo arancione +","寝袋（橙） +","침낭 주황색 +","Śpiwór – pomarańczowy +","Saco de dormir laranja +","Оранжевый спальник +","Dürülü Yatak Turuncu +","睡袋 橙色 +","橙色睡袋 +"
bedrollYellowAGF,,,,,"Bedroll Yellow +",,"Gelber Schlafsack +","Saco de dormir amarillo +","Sac de couchage, jaune +","Sacco a pelo giallo +","寝袋（黄色） +","침낭 노란색 +","Śpiwór – żółty +","Saco de dormir amarelo +","Желтый спальник +","Dürülü Yatak Sarı +","睡袋 黄色 +","黃色睡袋 +"
bedrollGreenAGF,,,,,"Bedroll Green +",,"Grüner Schlafsack +","Saco de dormir verde +","Sac de couchage, vert +","Sacco a pelo verde +","寝袋（緑） +","침낭 초록색 +","Śpiwór – zielony +","Saco de dormir verde +","Зеленый спальник +","Dürülü Yatak Yeşil +","睡袋 绿色 +","綠色睡袋 +"
bedrollBlueAGF,,,,,"Bedroll Blue +",,"Blauer Schlafsack +","Saco de dormir azul +","Sac de couchage, bleu +","Sacco a pelo blu +","寝袋（青） +","침낭 파란색 +","Śpiwór – niebieski +","Saco de dormir azul +","Синий спальник +","Dürülü Yatak Mavi +","睡袋 蓝色 +","藍色睡袋 +"
bedrollPurpleAGF,,,,,"Bedroll Purple +",,"Lila Schlafsack +","Saco de dormir lila +","Sac de couchage, violet +","Sacco a pelo viola +","寝袋（紫） +","침낭 보라색 +","Śpiwór – purpurowy +","Saco de dormir roxo +","Фиолетовый спальник +","Dürülü Yatak Mor +","睡袋 紫色 +","紫色睡袋 +"
bedrollPinkAGF,,,,,"Bedroll Pink +",,"Pinker Schlafsack +","Saco de dormir rosa +","Sac de couchage, rose +","Sacco a pelo rosa +","寝袋（ピンク） +","침낭 분홍색 +","Śpiwór – różowy +","Saco de dormir rosa +","Розовый спальник +","Dürülü Yatak Pembe +","睡袋 粉色 +","粉色睡袋 +"
bedrollGreyAGF,,,,,"Bedroll Grey +",,"Grauer Schlafsack +","Saco de dormir gris +","Sac de couchage, gris +","Sacco a pelo grigio +","寝袋（灰色） +","침낭 회색 +","Śpiwór – szary +","Saco de dormir cinza +","Серый спальник +","Dürülü Yatak Gri +","睡袋 灰色 +","灰色睡袋 +"
bedrollWhiteAGF,,,,,"Bedroll White +",,"Weißer Schlafsack +","Saco de dormir blanco +","Sac de couchage, blanc +","Sacco a pelo bianco +","寝袋（白） +","침낭 흰색 +","Śpiwór – biały +","Saco de dormir branco +","Белый спальник +","Dürülü Yatak Beyaz +","睡袋 白色 +","白色睡袋 +"
bedrollBlackAGF,,,,,"Bedroll Black +",,"Schwarz Schlafsack +","Saco de dormir negro +","Sac de couchage, noir +","Sacco a pelo nero +","寝袋（黒） +","침낭 검정색 +","Śpiwór – czarny +","Saco de dormir preto +","Черный спальный  +","Dürülü Yatak Siyah +","睡袋 黑色 +","黑色睡袋 +"
bedrollArmyGreenAGF,,,,,"Bedroll Army Green +",,"Armeegrüner Schlafsack +","Saco de dormir verde militar +","Sac de couchage, kaki +","Sacco a pelo verde militare +","寝袋（アーミーグリーン） +","침낭 군용 초록색 +","Śpiwór – wojskowa zieleń +","Saco de dormir verde-militar +","Спальник цвета хаки +","Dürülü Yatak Askeri Yeşil +","睡袋 军用 绿色 +","綠色軍用睡袋 +"
bedMadeNoFrameWhiteAGF,,,,,"White Bed No Frame, Made +",,"Weißes Bett – kein Rahmen, gemacht +","Cama blanca sin base, tendida +","Lit sans cadre blanc, fait +","Letto bianco senza struttura, Fatto +","フレーム無しベッド（メイク済み・白） +","흰색 이층 침대, 프레임 없음, 깔끔 +","Białe łóżko bez ramy — posłane +","Cama branca sem base, arrumada +","Белая кровать без каркаса, заправленная +","İskeletsiz Beyaz Yatak, Yapılmış +","已整理的无框白色床 +","白色無床架床舖，已整理 +"
bedMadeNoFrameBrownAGF,,,,,"Brown Bed No Frame, Made +",,"Braunes Bett – kein Rahmen, gemacht +","Cama marrón sin base, tendida +","Lit sans cadre marron, fait +","Letto marrone senza struttura, Fatto +","フレーム無しベッド（メイク済み・茶） +","갈색 침대, 프레임 없음, 깔끔 +","Brązowe łóżko bez ramy — posłane +","Cama marrom sem base, arrumada +","Коричневая кровать без каркаса, заправленная +","İskeletsiz Kahverengi Yatak, Yapılmış +","已整理的无框棕色床 +","棕色無床架床舖，已整理 +"
bedMadeNoFrameRedAGF,,,,,"Red Bed No Frame, Made +",,"Rotes Bett – kein Rahmen, gemacht +","Cama roja sin base, tendida +","Lit sans cadre rouge, fait +","Letto rosso senza struttura, Fatto +","フレーム無しベッド（メイク済み・赤） +","빨간색 침대, 프레임 없음, 깔끔 +","Czerwone łóżko bez ramy — posłane +","Cama vermelha sem base, arrumada +","Красная кровать без каркаса, заправленная +","İskeletsiz Kırmızı Yatak, Yapılmış +","已整理的无框红色床 +","紅色無床架床舖，已整理 +"
bedMadeNoFrameOrangeAGF,,,,,"Orange Bed No Frame, Made +",,"Orangefarbenes Bett – kein Rahmen, gemacht +","Cama naranja sin base, tendida +","Lit sans cadre orange, fait +","Letto arancione senza struttura, Fatto +","フレーム無しベッド（メイク済み・オレンジ） +","주황색 침대, 프레임 없음, 깔끔 +","Pomarańczowe łóżko bez ramy — posłane +","Cama laranja sem base, arrumada +","Оранжевая кровать без каркаса, заправленная +","İskeletsiz Turuncu Yatak, Yapılmış +","已整理的无框橙色床 +","橘色無床架床舖，已整理 +"
bedMadeNoFrameYellowAGF,,,,,"Yellow Bed No Frame, Made +",,"Gelbes Bett – kein Rahmen, gemacht +","Cama amarilla sin base, tendida +","Lit sans cadre jaune, fait +","Letto giallo senza struttura, Fatto +","フレーム無しベッド（メイク済み・黄） +","노란색 침대, 프레임 없음, 깔끔 +","Żółte łóżko bez ramy — posłane +","Cama amarela sem base, arrumada +","Желтая кровать без каркаса, заправленная +","İskeletsiz Sarı Yatak, Yapılmış +","已整理的无框黄色床 +","黃色無床架床舖，已整理 +"
bedMadeNoFrameGreenAGF,,,,,"Green Bed No Frame, Made +",,"Grünes Bett – kein Rahmen, gemacht +","Cama verde sin base, tendida +","Lit sans cadre vert, fait +","Letto verde senza struttura, Fatto +","フレーム無しベッド（メイク済み・緑） +","초록색 침대, 프레임 없음, 깔끔 +","Zielone łóżko bez ramy — posłane +","Cama verde sem base, arrumada +","Зеленая кровать без каркаса, заправленная +","İskeletsiz Yeşil Yatak, Yapılmış +","已整理的无框绿色床 +","綠色無床架床舖，已整理 +"
bedMadeNoFrameBlueAGF,,,,,"Blue Bed No Frame, Made +",,"Blaues Bett – kein Rahmen, gemacht +","Cama azul sin base, tendida +","Lit sans cadre bleu, fait +","Letto blu senza struttura, Fatto +","フレーム無しベッド（メイク済み・青） +","파란색 침대, 프레임 없음, 깔끔 +","Niebieskie łóżko bez ramy — posłane +","Cama azul sem base, arrumada +","Синяя кровать без каркаса, заправленная +","İskeletsiz Mavi Yatak, Yapılmış +","已整理的无框蓝色床 +","藍色無床架床舖，已整理 +"
bedMadeNoFramePurpleAGF,,,,,"Purple Bed No Frame, Made +",,"Lilafarbenes Bett – kein Rahmen, gemacht +","Cama violeta sin base, tendida +","Lit sans cadre violet, fait +","Letto viola senza struttura, Fatto +","フレーム無しベッド（メイク済み・紫） +","보라색 침대, 프레임 없음, 깔끔 +","Fioletowe łóżko bez ramy — posłane +","Cama roxa sem base, arrumada +","Фиолетовая кровать без каркаса, заправленная +","İskeletsiz Mor Yatak, Yapılmış +","已整理的无框紫色床 +","紫色無床架床舖，已整理 +"
bedMadeNoFrameGreyAGF,,,,,"Grey Bed No Frame, Made +",,"Graues Bett – kein Rahmen, gemacht +","Cama gris sin base, tendida +","Lit sans cadre gris, fait +","Letto grigio senza struttura, Fatto +","フレーム無しベッド（メイク済み・灰） +","회색 침대, 프레임 없음, 깔끔 +","Szare łóżko bez ramy — posłane +","Cama cinza sem base, arrumada +","Серая кровать без каркаса, заправленная +","İskeletsiz Gri Yatak, Yapılmış +","已整理的无框灰色床 +","灰色無床架床舖，已整理 +"
