Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
disa44MagnumBulletAP,items,Item,,,"[DECEA3]Disassembled:[ffffff] .44 Magnum, AP",,"[DECEA3]Zerlegt:[ffffff] Panzerbrechende .44-Magnum-Munition","[DECEA3]Desmontado: [ffffff]Munición con perforación de armadura de Magnum 0.44","[DECEA3]Démonté: [ffffff]Munition AP .44 Magnum","[DECEA3]Smontato: [ffffff]Munizioni perforanti per .44 Magnum","[DECEA3]分解: [ffffff]AP.44マグナム弾","[DECEA3]분해: [ffffff]AP .44 매그넘 탄약","[DECEA3]Zdemontowane: [ffffff]Przeciwpancerna amunicja Magnum .44","[DECEA3]Desmontado: [ffffff]Munição de .44 Magnum AP","[DECEA3]Разобранный: [ffffff]Бронебойные патроны .44 Magnum","[DECEA3]Demonte: [ffffff]AP .44 Magnum Mühimmatı","[DECEA3]拆卸: [ffffff].44马格南穿甲弹","[DECEA3]拆卸: [ffffff]AP .44 馬格南彈藥"
disa44MagnumBulletBall,items,Item,,,"[DECEA3]Disassembled:[ffffff] .44 Magnum",,"[DECEA3]Zerlegt:[ffffff] .44-Magnum-Munition","[DECEA3]Desmontado: [ffffff]Munición de Magnum 0.44","[DECEA3]Démonté: [ffffff]Munition .44 Magnum","[DECEA3]Smontato: [ffffff]Munizioni per .44 Magnum","[DECEA3]分解: [ffffff].44マグナム弾","[DECEA3]분해: [ffffff].44 매그넘 탄약","[DECEA3]Zdemontowane: [ffffff]Amunicja Magnum .44","[DECEA3]Desmontado: [ffffff]Munição de .44 Magnum","[DECEA3]Разобранный: [ffffff]Патроны .44 Magnum","[DECEA3]Demonte: [ffffff].44 Magnum Mühimmatı","[DECEA3]拆卸: [ffffff].44马格南弹药","[DECEA3]拆卸: [ffffff].44 馬格南彈藥"
disa44MagnumBulletHP,items,Item,,,"[DECEA3]Disassembled:[ffffff] .44 Magnum, HiPower",,"[DECEA3]Zerlegt:[ffffff] HiPower-.44-Magnum-Munition","[DECEA3]Desmontado: [ffffff]Munición expansiva de Magnum 0.44","[DECEA3]Démonté: [ffffff]Munition HtePuissance .44 Magnum","[DECEA3]Smontato: [ffffff]Munizioni HiPower per .44 Magnum","[DECEA3]分解: [ffffff]ハイパワー.44マグナム弾","[DECEA3]분해: [ffffff]하이파워 .44 매그넘 탄약","[DECEA3]Zdemontowane: [ffffff]Wzmocniona amunicja Magnum .44","[DECEA3]Desmontado: [ffffff]Munição .44 Magnum de alto desempenho","[DECEA3]Разобранный: [ffffff]Усиленные патроны .44 Magnum","[DECEA3]Demonte: [ffffff]HiPower .44 Magnum Mühimmatı","[DECEA3]拆卸: [ffffff].44马格南空心弹","[DECEA3]拆卸: [ffffff]HiPower .44馬格南彈藥"
disa762mmBulletAP,items,Item,,,"[DECEA3]Disassembled:[ffffff] 7.62mm, AP",,"[DECEA3]Zerlegt:[ffffff] Panzerbrechende 7,62-mm-Munition","[DECEA3]Desmontado: [ffffff]Munición con perforación de armadura de 7,62 mm","[DECEA3]Démonté: [ffffff]Munition AP cal. 7,62 mm","[DECEA3]Smontato: [ffffff]Munizioni perforanti per una 7,62 mm","[DECEA3]分解: [ffffff]AP 7.62mm弾","[DECEA3]분해: [ffffff]AP 7.62mm 탄약","[DECEA3]Zdemontowane: [ffffff]Przeciwpancerna amunicja 7,62 mm","[DECEA3]Desmontado: [ffffff]Munição 7.62 mm AP","[DECEA3]Разобранный: [ffffff]Бронебойные патроны 7,62 мм","[DECEA3]Demonte: [ffffff]AP 7,62 mm Mühimmat","[DECEA3]拆卸: [ffffff]7.62毫米穿甲弹","[DECEA3]拆卸: [ffffff]AP 7.62 毫米彈藥"
disa762mmBulletBall,items,Item,,,"[DECEA3]Disassembled:[ffffff] 7.62mm",,"[DECEA3]Zerlegt:[ffffff] 7,62-mm-Munition","[DECEA3]Desmontado: [ffffff]Munición de 7,62 mm","[DECEA3]Démonté: [ffffff]Munition cal. 7,62 mm","[DECEA3]Smontato: [ffffff]Munizioni per una 7,62 mm","[DECEA3]分解: [ffffff]7.62mm弾","[DECEA3]분해: [ffffff]7.62mm 탄약","[DECEA3]Zdemontowane: [ffffff]Amunicja 7,62 mm","[DECEA3]Desmontado: [ffffff]Munição 7.62 mm","[DECEA3]Разобранный: [ffffff]Патроны 7,62 мм","[DECEA3]Demonte: [ffffff]7,62 mm Mühimmat","[DECEA3]拆卸: [ffffff]7.62毫米弹药","[DECEA3]拆卸: [ffffff]7.62 毫米彈藥"
disa762mmBulletHP,items,Item,,,"[DECEA3]Disassembled:[ffffff] 7.62mm, HiPower",,"[DECEA3]Zerlegt:[ffffff] HiPower-7,62-mm-Munition","[DECEA3]Desmontado: [ffffff]Munición expansiva de 7.62 mm","[DECEA3]Démonté: [ffffff]Munition HtePuissance cal. 7,62 mm","[DECEA3]Smontato: [ffffff]Munizioni HiPower per 7,62 mm","[DECEA3]分解: [ffffff]ハイパワー7.62mm弾","[DECEA3]분해: [ffffff]하이파워 7.62mm 탄약","[DECEA3]Zdemontowane: [ffffff]Wzmocniona amunicja 7,62 mm","[DECEA3]Desmontado: [ffffff]Munição 7.62 mm de alto desempenho","[DECEA3]Разобранный: [ffffff]Усиленные патроны 7,62 мм","[DECEA3]Demonte: [ffffff]HiPower 7,62 mm Mühimmatı","[DECEA3]拆卸: [ffffff]7.62毫米马格南空心弹","[DECEA3]拆卸: [ffffff]HiPower 7.62毫米彈藥"
disa9mmBulletAP,items,Item,,,"[DECEA3]Disassembled:[ffffff] 9mm, AP",,"[DECEA3]Zerlegt:[ffffff] Panzerbrechende 9-mm-Munition","[DECEA3]Desmontado: [ffffff]Munición con perforación de armadura de 9 mm","[DECEA3]Démonté: [ffffff]Munition AP cal. 9 mm","[DECEA3]Smontato: [ffffff]Munizioni perforanti per 9 mm","[DECEA3]分解: [ffffff]AP 9mm弾","[DECEA3]분해: [ffffff]AP 9mm 탄약","[DECEA3]Zdemontowane: [ffffff]Przeciwpancerna amunicja 9 mm","[DECEA3]Desmontado: [ffffff]Munição 9 mm AP","[DECEA3]Разобранный: [ffffff]Бронебойные патроны 9 мм","[DECEA3]Demonte: [ffffff]AP 9 mm Mühimmat","[DECEA3]拆卸: [ffffff]9毫米穿甲弹","[DECEA3]拆卸: [ffffff]AP 9 毫米彈藥"
disa9mmBulletBall,items,Item,,,"[DECEA3]Disassembled:[ffffff] 9mm",,"[DECEA3]Zerlegt:[ffffff] 9-mm-Munition","[DECEA3]Desmontado: [ffffff]Munición de 9 mm","[DECEA3]Démonté: [ffffff]Munition cal. 9 mm","[DECEA3]Smontato: [ffffff]Munizioni per 9 mm","[DECEA3]分解: [ffffff]9mm弾","[DECEA3]분해: [ffffff]9mm 탄약","[DECEA3]Zdemontowane: [ffffff]Amunicja 9 mm","[DECEA3]Desmontado: [ffffff]Munição 9 mm","[DECEA3]Разобранный: [ffffff]Патроны 9 мм","[DECEA3]Demonte: [ffffff]9 mm Mühimmat","[DECEA3]拆卸: [ffffff]9毫米弹药","[DECEA3]拆卸: [ffffff]9 毫米彈藥"
disa9mmBulletHP,items,Item,,,"[DECEA3]Disassembled:[ffffff] 9mm, HiPower",,"[DECEA3]Zerlegt:[ffffff] HiPower-9-mm-Munition","[DECEA3]Desmontado: [ffffff]Munición expansiva de 9 mm","[DECEA3]Démonté: [ffffff]Munition HtePuissance cal. 9 mm","[DECEA3]Smontato: [ffffff]Munizioni HiPower per 9 mm","[DECEA3]分解: [ffffff]ハイパワー9mm弾","[DECEA3]분해: [ffffff]하이파워 9mm 탄약","[DECEA3]Zdemontowane: [ffffff]Wzmocniona amunicja 9 mm","[DECEA3]Desmontado: [ffffff]Munição 9 mm de alto desempenho","[DECEA3]Разобранный: [ffffff]Усиленные патроны 9 мм","[DECEA3]Demonte: [ffffff]HiPower 9 mm Mühimmatı","[DECEA3]拆卸: [ffffff]9毫米空心弹","[DECEA3]拆卸: [ffffff]HiPower 9毫米彈藥"
disaArrowExploding,items,Item,,,"[DECEA3]Disassembled:[ffffff] Arrow, Exploding",,"[DECEA3]Zerlegt:[ffffff] Sprengpfeil (Munition)","[DECEA3]Desmontado: [ffffff]Flecha explosiva (munición)","[DECEA3]Démonté: [ffffff]Flèche explosive (munition)","[DECEA3]Smontato: [ffffff]Freccia esplosiva (Munizioni)","[DECEA3]分解: [ffffff]爆発矢（弾薬）","[DECEA3]분해: [ffffff]폭발 화살 (탄약)","[DECEA3]Zdemontowane: [ffffff]Wybuchowa strzała (amunicja)","[DECEA3]Desmontado: [ffffff]Flecha Explosiva (Munição)","[DECEA3]Разобранный: [ffffff]Взрывная стрела (боеприпасы)","[DECEA3]Demonte: [ffffff]Patlayan Ok (Mühimmat)","[DECEA3]拆卸: [ffffff]爆炸箭（弹药）","[DECEA3]拆卸: [ffffff]爆炸箭（彈藥）"
disaArrowFlaming,items,Item,,,"[DECEA3]Disassembled:[ffffff] Arrow, Flaming",,"[DECEA3]Zerlegt:[ffffff] Feuerpfeil (Munition)","[DECEA3]Desmontado: [ffffff]Flecha en llamas (munición)","[DECEA3]Démonté: [ffffff]Flèche enflammée (munition)","[DECEA3]Smontato: [ffffff]Freccia di fuoco (Munizioni)","[DECEA3]分解: [ffffff]燃焼矢（弾薬）","[DECEA3]분해: [ffffff]불화살 (탄약)","[DECEA3]Zdemontowane: [ffffff]Płonąca strzała (amunicja)","[DECEA3]Desmontado: [ffffff]Flecha Flamejante (Munição)","[DECEA3]Разобранный: [ffffff]Зажигательная стрела (боеприпасы)","[DECEA3]Demonte: [ffffff]Alevli Ok (Mühimmat)","[DECEA3]拆卸: [ffffff]燃烧箭（弹药）","[DECEA3]拆卸: [ffffff]燃燒箭（彈藥）"
disaArrowIron,items,Item,,,"[DECEA3]Disassembled:[ffffff] Arrow, Iron",,"[DECEA3]Zerlegt:[ffffff] Eisenpfeil (Munition)","[DECEA3]Desmontado: [ffffff]Flecha de hierro (munición)","[DECEA3]Démonté: [ffffff]Flèche en fer (munition)","[DECEA3]Smontato: [ffffff]Freccia di ferro (Munizioni)","[DECEA3]分解: [ffffff]鉄矢（弾薬）","[DECEA3]분해: [ffffff]철제 화살 (탄약)","[DECEA3]Zdemontowane: [ffffff]Żelazna strzała (amunicja)","[DECEA3]Desmontado: [ffffff]Flecha de Ferro (Munição)","[DECEA3]Разобранный: [ffffff]Железная стрела (боеприпасы)","[DECEA3]Demonte: [ffffff]Demir Ok (Mühimmat)","[DECEA3]拆卸: [ffffff]铁箭（弹药）","[DECEA3]拆卸: [ffffff]鐵箭（彈藥）"
disaArrowSteelAP,items,Item,,,"[DECEA3]Disassembled:[ffffff] Arrow, Steel",,"[DECEA3]Zerlegt:[ffffff] Stahlpfeil (Munition)","[DECEA3]Desmontado: [ffffff]Flecha de acero (munición)","[DECEA3]Démonté: [ffffff]Flèche en acier (munition)","[DECEA3]Smontato: [ffffff]Freccia di acciaio (Munizioni)","[DECEA3]分解: [ffffff]鉄鋼矢（弾薬）","[DECEA3]분해: [ffffff]강철 화살 (탄약)","[DECEA3]Zdemontowane: [ffffff]Stalowa strzała (amunicja)","[DECEA3]Desmontado: [ffffff]Flecha de Aço (Munição)","[DECEA3]Разобранный: [ffffff]Стальная стрела (боеприпасы)","[DECEA3]Demonte: [ffffff]Çelik Ok (Mühimmat)","[DECEA3]拆卸: [ffffff]钢箭（弹药）","[DECEA3]拆卸: [ffffff]鋼箭（彈藥）"
disaArrowStone,items,Item,,,"[DECEA3]Disassembled:[ffffff] Arrow, Stone",,"[DECEA3]Zerlegt:[ffffff] Steinpfeil (Munition)","[DECEA3]Desmontado: [ffffff]Flecha de piedra (munición)","[DECEA3]Démonté: [ffffff]Flèche en pierre (munition)","[DECEA3]Smontato: [ffffff]Freccia di pietra (Munizioni)","[DECEA3]分解: [ffffff]石矢（弾薬）","[DECEA3]분해: [ffffff]돌 화살 (탄약)","[DECEA3]Zdemontowane: [ffffff]Kamienna strzała (amunicja)","[DECEA3]Desmontado: [ffffff]Flecha de Pedra (Munição)","[DECEA3]Разобранный: [ffffff]Каменная стрела (боеприпасы)","[DECEA3]Demonte: [ffffff]Taş Ok (Mühimmat)","[DECEA3]拆卸: [ffffff]石箭（弹药）","[DECEA3]拆卸: [ffffff]石箭（彈藥）"
