Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ammo44MagnumBulletAP,items,Ammo,,,"[DECEA3]Ammo [ffffff].44 Magnum, AP",,"Panzerbrechende .44-Magnum-Munition","Munición con perforación de armadura de Magnum 0.44","Munition AP .44 Magnum","Munizioni perforanti per .44 Magnum","AP.44マグナム弾","AP .44 매그넘 탄약","Przeciwpancerna amunicja Magnum .44","Munição de .44 Magnum AP","Бронебойные патроны .44 Magnum","AP .44 Magnum Mühimmatı",".44马格南穿甲弹","AP .44 馬格南彈藥"
ammo44MagnumBulletBall,items,Ammo,,,"[DECEA3]Ammo [ffffff].44 Magnum",,".44-Magnum-Munition","Munición de Magnum 0.44","Munition .44 Magnum","Munizioni per .44 Magnum",".44マグナム弾",".44 매그넘 탄약","Amunicja Magnum .44","Munição de .44 Magnum","Патроны .44 Magnum",".44 Magnum Mühimmatı",".44马格南弹药",".44 馬格南彈藥"
ammo44MagnumBulletHP,items,Ammo,,,"[DECEA3]Ammo [ffffff].44 Magnum, HiPower",,"HiPower-.44-Magnum-Munition","Munición expansiva de Magnum 0.44","Munition HtePuissance .44 Magnum","Munizioni HiPower per .44 Magnum","ハイパワー .44口径マグナム弾","하이파워 .44 매그넘 탄약","Wzmocniona amunicja Magnum .44","Munição .44 Magnum de alto desempenho","Усиленные патроны .44 Magnum","HiPower .44 Magnum Mühimmatı",".44马格南空心弹","HiPower .44馬格南彈藥"
ammo762mmBulletAP,items,Ammo,,,"[DECEA3]Ammo [ffffff]7.62mm, AP",,"Panzerbrechende 7,62-mm-Munition","Munición con perforación de armadura de 7,62 mm","Munition AP cal. 7,62 mm","Munizioni perforanti per una 7,62 mm","AP 7.62mm弾","AP 7.62mm 탄약","Przeciwpancerna amunicja 7,62 mm","Munição 7.62 mm AP","Бронебойные патроны 7,62 мм","AP 7,62 mm Mühimmat","7.62毫米穿甲弹","AP 7.62 毫米彈藥"
ammo762mmBulletBall,items,Ammo,,,"[DECEA3]Ammo [ffffff]7.62mm",,"7,62-mm-Munition","Munición de 7,62 mm","Munition cal. 7,62 mm","Munizioni per una 7,62 mm","7.62mm弾","7.62mm 탄약","Amunicja 7,62 mm","Munição 7.62 mm","Патроны 7,62 мм","7,62 mm Mühimmat","7.62毫米弹药","7.62 毫米彈藥"
ammo762mmBulletHP,items,Ammo,,,"[DECEA3]Ammo [ffffff]7.62mm, HiPower",,"HiPower-7,62-mm-Munition","Munición expansiva de 7.62 mm","Munition HtePuissance cal. 7,62 mm","Munizioni HiPower per 7,62 mm","ハイパワー 7.62mm弾","하이파워 7.62mm 탄약","Wzmocniona amunicja 7,62 mm","Munição 7.62 mm de alto desempenho","Усиленные патроны 7,62 мм","HiPower 7,62 mm Mühimmatı","7.62毫米马格南空心弹","HiPower 7.62毫米彈藥"
ammo9mmBulletAP,items,Ammo,,,"[DECEA3]Ammo [ffffff]9mm, AP",,"Panzerbrechende 9-mm-Munition","Munición con perforación de armadura de 9 mm","Munition AP cal. 9 mm","Munizioni perforanti per 9 mm","AP 9mm弾","AP 9mm 탄약","Przeciwpancerna amunicja 9 mm","Munição 9 mm AP","Бронебойные патроны 9 мм","AP 9 mm Mühimmat","9毫米穿甲弹","AP 9 毫米彈藥"
ammo9mmBulletBall,items,Ammo,,,"[DECEA3]Ammo [ffffff]9mm",,"9-mm-Munition","Munición de 9 mm","Munition cal. 9 mm","Munizioni per 9 mm","9mm弾","9mm 탄약","Amunicja 9 mm","Munição 9 mm","Патроны 9 мм","9 mm Mühimmat","9毫米弹药","9 毫米彈藥"
ammo9mmBulletHP,items,Ammo,,,"[DECEA3]Ammo [ffffff]9mm, HiPower",,"HiPower-9-mm-Munition","Munición expansiva de 9 mm","Munition HtePuissance cal. 9 mm","Munizioni HiPower per 9 mm","ハイパワー 9mm弾","하이파워 9mm 탄약","Wzmocniona amunicja 9 mm","Munição 9 mm de alto desempenho","Усиленные патроны 9 мм","HiPower 9 mm Mühimmatı","9毫米空心弹","HiPower 9毫米彈藥"
ammoArrowExploding,items,Ammo,,,"[DECEA3]Ammo [ffffff]Arrow, Exploding",,"Sprengpfeil (Munition)","Flecha explosiva (munición)","Flèche explosive (munition)","Freccia esplosiva (Munizioni)","爆発矢（弾薬）","폭발 화살 (탄약)","Wybuchowa strzała (amunicja)","Flecha Explosiva (Munição)","Взрывная стрела (боеприпасы)","Patlayan Ok (Mühimmat)","爆炸箭（弹药）","爆炸箭（彈藥）"
