Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntDewCollector,,,,,"[ff0000]-Destroy for 2x2-[-]",,"[ff0000]-Zerstöre für 2x2-[-]","[ff0000]-Destruye por 2x2-[-]","[ff0000]-Détruire pour 2x2-[-]","[ff0000]-Distruggi per 2x2-[-]","[ff0000]-2x2で破壊する-[-]","[ff0000]-2x2를 위해 파괴하세요-[-]","[ff0000]-Zniszcz dla 2x2-[-]","[ff0000]-Destruir por 2x2-[-]","[ff0000]-Уничтожить за 2x2-[-]","[ff0000]-2x2 için yok et-[-]","[ff0000]-摧毁 2x2-[-]","[ff0000]-摧毀 2x2-[-]"
cntDewCollectorAGF,,,,,"Dew Collector",,"Tausammler","Recolector de rocío","Ramasseur de rosée","Raccoglitore di rugiada","水滴収集器","이슬 수집기","Kolektor rosy","Coletor de orvalho","Коллектор росы","Çiy Toplayıcı","露水收集器","露水收集器"
cntDewCollectorAGFx5,,,,,"Dew Collector[ffb400] x5[-]",,"Tausammler[ffb400] x5[-]","Recolector de rocío[ffb400] x5[-]","Ramasseur de rosée[ffb400] x5[-]","Raccoglitore di rugiada[ffb400] x5[-]","水滴収集器[ffb400] x5[-]","이슬 수집기[ffb400] x5[-]","Kolektor rosy[ffb400] x5[-]","Coletor de orvalho[ffb400] x5[-]","Коллектор росы[ffb400] x5[-]","Çiy Toplayıcı[ffb400] x5[-]","露水收集器[ffb400] x5[-]","露水收集器[ffb400] x5[-]"
dewCollectorDescx5,,,,,"Collects dew over time for clean drinking water.\n\nRepair with Scrap Polymers.\n\n[ddcdfa]x5",,"Sammelt im Laufe der Zeit Tau für sauberes Trinkwasser.\n\nKann mit Kunststoffabfall repariert werden.\n\n[ddcdfa]x5","Recoge el rocío con el tiempo para obtener agua potable.\n\nSe repara con polímeros de chatarra.\n\n[ddcdfa]x5","Ramasse de la rosée sur la durée pour avoir de l'eau potable.\n\nSe répare avec des polymères recyclés.\n\n[ddcdfa]x5","Raccoglie rugiada nel corso del tempo per ottenere acqua potabile pulita.\n\nSi ripara con i polimeri.\n\n[ddcdfa]x5","時間経過で露を集め、きれいな飲料水を作ります。\n\nスクラップポリマーで修理できます。\n\n[ddcdfa]x5","시간이 지남에 따라 이슬을 모아 깨끗한 식수를 만듭니다.\n\n중합체 조각으로 수리합니다.\n\n[ddcdfa]x5","Gromadzi rosę, która z czasem może posłużyć jako woda pitna.\n\nNaprawisz przy użyciu resztek polimerów.\n\n[ddcdfa]x5","Coleta orvalho ao longo do tempo e fornece água potável.\n\nRepare com polímeros de sucata.\n\n[ddcdfa]x5","Со временем накапливает росу для получения чистой питьевой воды.\n\nРемонтируется с помощью полимерных отходов.\n\n[ddcdfa]x5","Temiz içme suyu elde etmek için zamanla çiy toplar.\n\nHurda Polimerler ile onar.\n\n[ddcdfa]x5","逐渐收集露水以获得清洁的饮用水。\n\n可用废聚合物修理。\n\n[ddcdfa]x5","隨時間收集露水，可用作乾淨的飲用水。\n\n用聚合體碎片修理。\n\n[ddcdfa]x5"
drinkJarBoiledWaterDescx5,,,,,"This is a compact stack of water. Use this item to open and unpack it.",,"Ein kompakter Stapel Wasser. Benutze diesen Gegenstand, um ihn zu öffnen und zu entladen.","Pila compacta de agua. Usa este objeto para abrirla y descargarla.","C'est un tas d'eau compact. Utilisez cet objet pour l'ouvrir et le déballer.","Un mucchio d'acqua compatto. Usa questo oggetto per la sua apertura.","大量の水がコンパクトにまとまる。このアイテムを使用すると開封や内容品の取り出しが可能です。","압축된 번들 워터입니다. 이 아이템을 사용하면 낱개로 풀립니다.","Stos wody. Użyj tego przedmiotu, aby go otworzyć i rozpakować.","Uma pilha compacta de água. Use este item para abrir e descompactar.","Компактный запас воды. Используйте, чтобы распаковать его.","Bir su yığını. Açmak ve içindekileri çıkarmak için bu öğeyi kullan.","这是足足一堆水。使用此道具打开。","這是一堆水。用這個物品打開並取出。"
drinkJarBoiledWaterx5,,,,,"Water[ffb400] x5[-]",,"Wasser[ffb400] x5[-]","Agua[ffb400] x5[-]","Eau[ffb400] x5[-]","Acqua[ffb400] x5[-]","水[ffb400] x5[-]","물[ffb400] x5[-]","Woda[ffb400] x5[-]","Água[ffb400] x5[-]","Вода[ffb400] x5[-]","Su[ffb400] x5[-]","水[ffb400] x5[-]","水[ffb400] x5[-]"
drinkJarRiverWaterx5,,,,,"Murky Water [ffb400]x5[-]",,"Trübes Wasser [ffb400]x5[-]","Agua turbia [ffb400]x5[-]","Eau trouble [ffb400]x5[-]","Acqua torbida [ffb400]x5[-]","泥水 [ffb400]x5[-]","탁한 물 [ffb400]x5[-]","Błotnista woda [ffb400]x5[-]","Água Turva [ffb400]x5[-]","Мутная вода [ffb400]x5[-]","Bulanık Su [ffb400]x5[-]","浑浊的水 [ffb400]x5[-]","髒水 [ffb400]x5[-]"
cntDewCollectorAGFx25,,,,,"Dew Collector[ddcdfa] x25[-]",,"Tausammler[ddcdfa] x25[-]","Recolector de rocío[ddcdfa] x25[-]","Ramasseur de rosée[ddcdfa] x25[-]","Raccoglitore di rugiada[ddcdfa] x25[-]","水滴収集器[ddcdfa] x25[-]","이슬 수집기[ddcdfa] x25[-]","Kolektor rosy[ddcdfa] x25[-]","Coletor de orvalho[ddcdfa] x25[-]","Коллектор росы[ddcdfa] x25[-]","Çiy Toplayıcı[ddcdfa] x25[-]","露水收集器[ddcdfa] x25[-]","露水收集器[ddcdfa] x25[-]"
drinkJarBoiledWaterx25,,,,,"Water[ddcdfa] x25[-]",,"Wasser[ddcdfa] x25[-]","Agua[ddcdfa] x25[-]","Eau[ddcdfa] x25[-]","Acqua[ddcdfa] x25[-]","水[ddcdfa] x25[-]","물[ddcdfa] x25[-]","Woda[ddcdfa] x25[-]","Água[ddcdfa] x25[-]","Вода[ddcdfa] x25[-]","Su[ddcdfa] x25[-]","水[ddcdfa] x25[-]","水[ddcdfa] x25[-]"
drinkJarRiverWaterx25,,,,,"Murky Water [ddcdfa]x25[-]",,"Trübes Wasser [ddcdfa]x25[-]","Agua turbia [ddcdfa]x25[-]","Eau trouble [ddcdfa]x25[-]","Acqua torbida [ddcdfa]x25[-]","泥水 [ddcdfa]x25[-]","탁한 물 [ddcdfa]x25[-]","Błotnista woda [ddcdfa]x25[-]","Água Turva [ddcdfa]x25[-]","Мутная вода [ddcdfa]x25[-]","Bulanık Su [ddcdfa]x25[-]","浑浊的水 [ddcdfa]x25[-]","髒水 [ddcdfa]x25[-]"
toolDewGathererx5,,,,,"[DECEA3](Dew Collector)[-] Gatherer[ffb400] x5[-]",,"[DECEA3](Tausammler)[-] Sammler[ffb400] x5[-]","[DECEA3](Recolector de rocío)[-] Recolector[ffb400] x5[-]","[DECEA3](Ramasseur de rosée)[-] Collecteur[ffb400] x5[-]","[DECEA3](Raccoglitore di rugiada)[-] Raccoglitore[ffb400] x5[-]","[DECEA3](水滴収集器)[-] 収集器[ffb400] x5[-]","[DECEA3](이슬 수집기)[-] 채집꾼[ffb400] x5[-]","[DECEA3](Kolektor rosy)[-] Zbieracz[ffb400] x5[-]","[DECEA3](Coletor de orvalho)[-] Coletor[ffb400] x5[-]","[DECEA3](Коллектор росы)[-] Собиратель[ffb400] x5[-]","[DECEA3](Çiy Toplayıcı)[-] Toplayıcı[ffb400] x5[-]","[DECEA3](露水收集器)[-] 采集者[ffb400] x5[-]","[DECEA3](露水收集器)[-] 採集者[ffb400] x5[-]"
toolDewTarpx5,,,,,"[DECEA3](Dew Collector)[-] Tarp[ffb400] x5[-]",,"[DECEA3](Tausammler)[-] Plane[ffb400] x5[-]","[DECEA3](Recolector de rocío)[-] Lona[ffb400] x5[-]","[DECEA3](Ramasseur de rosée)[-] Bâche[ffb400] x5[-]","[DECEA3](Raccoglitore di rugiada)[-] Telone[ffb400] x5[-]","[DECEA3](水滴収集器)[-] タープ[ffb400] x5[-]","[DECEA3](이슬 수집기)[-] 타프[ffb400] x5[-]","[DECEA3](Kolektor rosy)[-] Brezent[ffb400] x5[-]","[DECEA3](Coletor de orvalho)[-] Lona[ffb400] x5[-]","[DECEA3](Коллектор росы)[-] Парусина[ffb400] x5[-]","[DECEA3](Çiy Toplayıcı)[-] Branda[ffb400] x5[-]","[DECEA3](露水收集器)[-] 油布[ffb400] x5[-]","[DECEA3](露水收集器)[-] 篷帆布[ffb400] x5[-]"
toolDewFilterx5,,,,,"[DECEA3](Dew Collector)[-] Water Filter[ffb400] x5[-]",,"[DECEA3](Tausammler)[-] Wasserfilter[ffb400] x5[-]","[DECEA3](Recolector de rocío)[-] Filtro de agua[ffb400] x5[-]","[DECEA3](Ramasseur de rosée)[-] Filtre à eau[ffb400] x5[-]","[DECEA3](Raccoglitore di rugiada)[-] Filtro dell'acqua[ffb400] x5[-]","[DECEA3](水滴収集器)[-] ウォーターフィルター[ffb400] x5[-]","[DECEA3](이슬 수집기)[-] 정수 필터[ffb400] x5[-]","[DECEA3](Kolektor rosy)[-] Filtr wody[ffb400] x5[-]","[DECEA3](Coletor de orvalho)[-] Filtro de água[ffb400] x5[-]","[DECEA3](Коллектор росы)[-] Фильтр для воды[ffb400] x5[-]","[DECEA3](Çiy Toplayıcı)[-] Su Filtresi[ffb400] x5[-]","[DECEA3](露水收集器)[-] 滤水器[ffb400] x5[-]","[DECEA3](露水收集器)[-] 濾水器[ffb400] x5[-]"
toolDewGathererx25,,,,,"[DECEA3](Dew Collector)[-] Gatherer[ddcdfa] x25[-]",,"[DECEA3](Tausammler)[-] Sammler[ddcdfa] x25[-]","[DECEA3](Recolector de rocío)[-] Recolector[ddcdfa] x25[-]","[DECEA3](Ramasseur de rosée)[-] Collecteur[ddcdfa] x25[-]","[DECEA3](Raccoglitore di rugiada)[-] Raccoglitore[ddcdfa] x25[-]","[DECEA3](水滴収集器)[-] 収集器[ddcdfa] x25[-]","[DECEA3](이슬 수집기)[-] 채집꾼[ddcdfa] x25[-]","[DECEA3](Kolektor rosy)[-] Zbieracz[ddcdfa] x25[-]","[DECEA3](Coletor de orvalho)[-] Coletor[ddcdfa] x25[-]","[DECEA3](Коллектор росы)[-] Собиратель[ddcdfa] x25[-]","[DECEA3](Çiy Toplayıcı)[-] Toplayıcı[ddcdfa] x25[-]","[DECEA3](露水收集器)[-] 采集者[ddcdfa] x25[-]","[DECEA3](露水收集器)[-] 採集者[ddcdfa] x25[-]"
toolDewTarpx25,,,,,"[DECEA3](Dew Collector)[-] Tarp[ddcdfa] x25[-]",,"[DECEA3](Tausammler)[-] Plane[ddcdfa] x25[-]","[DECEA3](Recolector de rocío)[-] Lona[ddcdfa] x25[-]","[DECEA3](Ramasseur de rosée)[-] Bâche[ddcdfa] x25[-]","[DECEA3](Raccoglitore di rugiada)[-] Telone[ddcdfa] x25[-]","[DECEA3](水滴収集器)[-] タープ[ddcdfa] x25[-]","[DECEA3](이슬 수집기)[-] 타프[ddcdfa] x25[-]","[DECEA3](Kolektor rosy)[-] Brezent[ddcdfa] x25[-]","[DECEA3](Coletor de orvalho)[-] Lona[ddcdfa] x25[-]","[DECEA3](Коллектор росы)[-] Парусина[ddcdfa] x25[-]","[DECEA3](Çiy Toplayıcı)[-] Branda[ddcdfa] x25[-]","[DECEA3](露水收集器)[-] 油布[ddcdfa] x25[-]","[DECEA3](露水收集器)[-] 篷帆布[ddcdfa] x25[-]"
toolDewFilterx25,,,,,"[DECEA3](Dew Collector)[-] Water Filter[ddcdfa] x25[-]",,"[DECEA3](Tausammler)[-] Wasserfilter[ddcdfa] x25[-]","[DECEA3](Recolector de rocío)[-] Filtro de agua[ddcdfa] x25[-]","[DECEA3](Ramasseur de rosée)[-] Filtre à eau[ddcdfa] x25[-]","[DECEA3](Raccoglitore di rugiada)[-] Filtro dell'acqua[ddcdfa] x25[-]","[DECEA3](水滴収集器)[-] ウォーターフィルター[ddcdfa] x25[-]","[DECEA3](이슬 수집기)[-] 정수 필터[ddcdfa] x25[-]","[DECEA3](Kolektor rosy)[-] Filtr wody[ddcdfa] x25[-]","[DECEA3](Coletor de orvalho)[-] Filtro de água[ddcdfa] x25[-]","[DECEA3](Коллектор росы)[-] Фильтр для воды[ddcdfa] x25[-]","[DECEA3](Çiy Toplayıcı)[-] Su Filtresi[ddcdfa] x25[-]","[DECEA3](露水收集器)[-] 滤水器[ddcdfa] x25[-]","[DECEA3](露水收集器)[-] 濾水器[ddcdfa] x25[-]"
