Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
oldWoodDoorAGFWood,blocks,Block,,,"[ddcdfa](Wood)[-] Wood Door",,"[ddcdfa](Holz)[-] Holztür","[ddcdfa](Madera)[-] Puerta de madera","[ddcdfa](Bois)[-] Porte en bois","[ddcdfa](Legno)[-] Porta di legno","[ddcdfa](木材)[-] 木製ドア","[ddcdfa](목재)[-] 목재 문","[ddcdfa](Drewno)[-] Drewniane drzwi","[ddcdfa](Madeira)[-] Porta de madeira","[ddcdfa](Дерево)[-] Деревянная дверь","[ddcdfa](Tahta)[-] Tahta Kapı","[ddcdfa](木头)[-] 木门","[ddcdfa](木頭)[-] 木門"
oldWoodDoorAGFWoodClean,blocks,Block,,,"[ddcdfa](Wood)[-] Wood Door [decea3]Plain[-]",,"[ddcdfa](Holz)[-] Holztür [decea3]Klar[-]","[ddcdfa](Madera)[-] Puerta de madera [decea3]Simple[-]","[ddcdfa](Bois)[-] Porte en bois [decea3]Simple[-]","[ddcdfa](Legno)[-] Porta di legno [decea3]Semplice[-]","[ddcdfa](木材)[-] 木製ドア [decea3]プレーン[-]","[ddcdfa](목재)[-] 목재 문 [decea3]플레인[-]","[ddcdfa](Drewno)[-] Drewniane drzwi [decea3]Prosta[-]","[ddcdfa](Madeira)[-] Porta de madeira [decea3]Simples[-]","[ddcdfa](Дерево)[-] Деревянная дверь [decea3]Простой[-]","[ddcdfa](Tahta)[-] Tahta Kapı [decea3]Sade[-]","[ddcdfa](木头)[-] 木门 [decea3]简洁[-]","[ddcdfa](木頭)[-] 木門 [decea3]簡潔[-]"
ironDoorWhiteAGFWood,blocks,Block,,,"[ddcdfa](Wood)[-] White Iron Door",,"[ddcdfa](Holz)[-] Weiße Eisentür","[ddcdfa](Madera)[-] Puerta de hierro blanca","[ddcdfa](Bois)[-] Porte en fer blanche","[ddcdfa](Legno)[-] Porta di ferro bianca","[ddcdfa](木材)[-] 鉄製ドア（白）","[ddcdfa](목재)[-] 흰색 철제 문","[ddcdfa](Drewno)[-] Żelazne drzwi – białe","[ddcdfa](Madeira)[-] Porta de ferro branca","[ddcdfa](Дерево)[-] Белая железная дверь","[ddcdfa](Tahta)[-] Beyaz Demir Kapı","[ddcdfa](木头)[-] 白色铁门","[ddcdfa](木頭)[-] 白色鐵門"
ironDoorWhiteAGFWoodClean,blocks,Block,,,"[ddcdfa](Wood)[-] White Iron Door [decea3]Plain[-]",,"[ddcdfa](Holz)[-] Weiße Eisentür [decea3]Klar[-]","[ddcdfa](Madera)[-] Puerta de hierro blanca [decea3]Simple[-]","[ddcdfa](Bois)[-] Porte en fer blanche [decea3]Simple[-]","[ddcdfa](Legno)[-] Porta di ferro bianca [decea3]Semplice[-]","[ddcdfa](木材)[-] 鉄製ドア（白） [decea3]プレーン[-]","[ddcdfa](목재)[-] 흰색 철제 문 [decea3]플레인[-]","[ddcdfa](Drewno)[-] Żelazne drzwi – białe [decea3]Prosta[-]","[ddcdfa](Madeira)[-] Porta de ferro branca [decea3]Simples[-]","[ddcdfa](Дерево)[-] Белая железная дверь [decea3]Простой[-]","[ddcdfa](Tahta)[-] Beyaz Demir Kapı [decea3]Sade[-]","[ddcdfa](木头)[-] 白色铁门 [decea3]简洁[-]","[ddcdfa](木頭)[-] 白色鐵門 [decea3]簡潔[-]"
ironDoorBrownAGFWood,blocks,Block,,,"[ddcdfa](Wood)[-] Brown Iron Door",,"[ddcdfa](Holz)[-] Braune Eisentür","[ddcdfa](Madera)[-] Puerta de hierro marrón","[ddcdfa](Bois)[-] Porte en fer marron","[ddcdfa](Legno)[-] Porta di ferro marrone","[ddcdfa](木材)[-] 鉄製ドア（茶色）","[ddcdfa](목재)[-] 갈색 철제 문","[ddcdfa](Drewno)[-] Żelazne drzwi – brązowe","[ddcdfa](Madeira)[-] Porta de ferro marrom","[ddcdfa](Дерево)[-] Коричневая железная дверь","[ddcdfa](Tahta)[-] Kahverengi Demir Kapı","[ddcdfa](木头)[-] 棕色铁门","[ddcdfa](木頭)[-] 棕色鐵門"
ironDoorBrownAGFWoodClean,blocks,Block,,,"[ddcdfa](Wood)[-] Brown Iron Door [decea3]Plain[-]",,"[ddcdfa](Holz)[-] Braune Eisentür [decea3]Klar[-]","[ddcdfa](Madera)[-] Puerta de hierro marrón [decea3]Simple[-]","[ddcdfa](Bois)[-] Porte en fer marron [decea3]Simple[-]","[ddcdfa](Legno)[-] Porta di ferro marrone [decea3]Semplice[-]","[ddcdfa](木材)[-] 鉄製ドア（茶色） [decea3]プレーン[-]","[ddcdfa](목재)[-] 갈색 철제 문 [decea3]플레인[-]","[ddcdfa](Drewno)[-] Żelazne drzwi – brązowe [decea3]Prosta[-]","[ddcdfa](Madeira)[-] Porta de ferro marrom [decea3]Simples[-]","[ddcdfa](Дерево)[-] Коричневая железная дверь [decea3]Простой[-]","[ddcdfa](Tahta)[-] Kahverengi Demir Kapı [decea3]Sade[-]","[ddcdfa](木头)[-] 棕色铁门 [decea3]简洁[-]","[ddcdfa](木頭)[-] 棕色鐵門 [decea3]簡潔[-]"
ironDoorRedAGFWood,blocks,Block,,,"[ddcdfa](Wood)[-] Red Iron Door",,"[ddcdfa](Holz)[-] Rote Eisentür","[ddcdfa](Madera)[-] Puerta de hierro roja","[ddcdfa](Bois)[-] Porte en fer rouge","[ddcdfa](Legno)[-] Porta di ferro rossa","[ddcdfa](木材)[-] 鉄製ドア（赤）","[ddcdfa](목재)[-] 빨간색 철제 문","[ddcdfa](Drewno)[-] Żelazne drzwi – czerwone","[ddcdfa](Madeira)[-] Porta de ferro vermelha","[ddcdfa](Дерево)[-] Красная железная дверь","[ddcdfa](Tahta)[-] Kırmızı Demir Kapı","[ddcdfa](木头)[-] 红色铁门","[ddcdfa](木頭)[-] 紅色鐵門"
ironDoorRedAGFWoodClean,blocks,Block,,,"[ddcdfa](Wood)[-] Red Iron Door [decea3]Plain[-]",,"[ddcdfa](Holz)[-] Rote Eisentür [decea3]Klar[-]","[ddcdfa](Madera)[-] Puerta de hierro roja [decea3]Simple[-]","[ddcdfa](Bois)[-] Porte en fer rouge [decea3]Simple[-]","[ddcdfa](Legno)[-] Porta di ferro rossa [decea3]Semplice[-]","[ddcdfa](木材)[-] 鉄製ドア（赤） [decea3]プレーン[-]","[ddcdfa](목재)[-] 빨간색 철제 문 [decea3]플레인[-]","[ddcdfa](Drewno)[-] Żelazne drzwi – czerwone [decea3]Prosta[-]","[ddcdfa](Madeira)[-] Porta de ferro vermelha [decea3]Simples[-]","[ddcdfa](Дерево)[-] Красная железная дверь [decea3]Простой[-]","[ddcdfa](Tahta)[-] Kırmızı Demir Kapı [decea3]Sade[-]","[ddcdfa](木头)[-] 红色铁门 [decea3]简洁[-]","[ddcdfa](木頭)[-] 紅色鐵門 [decea3]簡潔[-]"
ironDoorOrangeAGFWood,blocks,Block,,,"[ddcdfa](Wood)[-] Orange Iron Door",,"[ddcdfa](Holz)[-] Orangefarbene Eisentür","[ddcdfa](Madera)[-] Puerta de hierro naranja","[ddcdfa](Bois)[-] Porte en fer orange","[ddcdfa](Legno)[-] Porta di ferro arancione","[ddcdfa](木材)[-] 鉄製ドア（橙）","[ddcdfa](목재)[-] 주황색 철제 문","[ddcdfa](Drewno)[-] Żelazne drzwi – pomarańczowe","[ddcdfa](Madeira)[-] Porta de ferro laranja","[ddcdfa](Дерево)[-] Оранжевая железная дверь","[ddcdfa](Tahta)[-] Turuncu Demir Kapı","[ddcdfa](木头)[-] 橙色铁门","[ddcdfa](木頭)[-] 橘色鐵門"
ironDoorOrangeAGFWoodClean,blocks,Block,,,"[ddcdfa](Wood)[-] Orange Iron Door [decea3]Plain[-]",,"[ddcdfa](Holz)[-] Orangefarbene Eisentür [decea3]Klar[-]","[ddcdfa](Madera)[-] Puerta de hierro naranja [decea3]Simple[-]","[ddcdfa](Bois)[-] Porte en fer orange [decea3]Simple[-]","[ddcdfa](Legno)[-] Porta di ferro arancione [decea3]Semplice[-]","[ddcdfa](木材)[-] 鉄製ドア（橙） [decea3]プレーン[-]","[ddcdfa](목재)[-] 주황색 철제 문 [decea3]플레인[-]","[ddcdfa](Drewno)[-] Żelazne drzwi – pomarańczowe [decea3]Prosta[-]","[ddcdfa](Madeira)[-] Porta de ferro laranja [decea3]Simples[-]","[ddcdfa](Дерево)[-] Оранжевая железная дверь [decea3]Простой[-]","[ddcdfa](Tahta)[-] Turuncu Demir Kapı [decea3]Sade[-]","[ddcdfa](木头)[-] 橙色铁门 [decea3]简洁[-]","[ddcdfa](木頭)[-] 橘色鐵門 [decea3]簡潔[-]"
