Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
seedStation,,,,,"Seeds Workbench",,"Samen Werkbank","Semillas Mesa de trabajo","Graines Établi","Semi Banco da lavoro","種子 作業台","씨앗 작업대","Nasiona Warsztat","Sementes Bancada","Семена Верстак","Tohumlar Çalışma Tezgâhı","种子 工作台","種子 工作臺"
seedStationDesc,,,,,"Craft Seeds [ddcdfa]x5[-]\nCraft Farm Plot [ddcdfa]x5[-]\n\nLiving off the Land - Level 3 - 70% Faster Crafting: Seeds, Farm Plot",,"Fertige Samen [ddcdfa]x5[-]\nFertige Beete und Felder [ddcdfa]x5[-]\n\nVom Land leben - Level 3 - 70% Schneller Fertigung: Samen, Beete und Felder","Fabrica Semillas [ddcdfa]x5[-]\nFabrica Parcela agrícola [ddcdfa]x5[-]\n\nVivir de la tierra - Nivel 3 - 70% Más rápido Artesanía: Semillas, Parcela agrícola","Fabriquer Graines [ddcdfa]x5[-]\nFabriquer Parcelle cultivable [ddcdfa]x5[-]\n\nVie à la campagne - Niveau 3 - 70% Accélérer Fabrication: Graines, Parcelle cultivable","Crea Semi [ddcdfa]x5[-]\nCrea Terreno agricolo [ddcdfa]x5[-]\n\nFrutti della terra - Livello 3 - 70% Accelera Creazione: Semi, Terreno agricolo","クラフト 種子 [ddcdfa]x5[-]\nクラフト 耕作区画 [ddcdfa]x5[-]\n\n自給自足 - レベル 3 - 70% より早く クラフト: 種子, 耕作区画","제작: 씨앗 [ddcdfa]x5[-]\n제작: 농장 터 [ddcdfa]x5[-]\n\n자급자족 - 레벨 3 - 70% 더 빠르게 제작: 씨앗, 농장 터","Wytwórz Nasiona [ddcdfa]x5[-]\nWytwórz Żyzna ziemia [ddcdfa]x5[-]\n\nSamowystarczalność - Poziom 3 - 70% Szybciej Wytwarzanie: Nasiona, Żyzna ziemia","Fabrique Sementes [ddcdfa]x5[-]\nFabrique Terreno Agrícola [ddcdfa]x5[-]\n\nVivendo da terra - Nível 3 - 70% Mais rápido Fabricação: Sementes, Terreno Agrícola","Изготовить Семена [ddcdfa]x5[-]\nИзготовить Фермерская делянка [ddcdfa]x5[-]\n\nФермерство и земледелие - Уровень 3 - 70% Быстрее Изготовление: Семена, Фермерская делянка","Üret Tohumlar [ddcdfa]x5[-]\nÜret Çiftlik Arsası [ddcdfa]x5[-]\n\nGeçimini Topraktan Sağlayan - Seviye 3 - 70% Hızlandır Üretim: Tohumlar, Çiftlik Arsası","制作 种子 [ddcdfa]x5[-]\n制作 农地 [ddcdfa]x5[-]\n\n就地取材 - 等级 3 - 70% 快速 制作: 种子, 农地","製作 種子 [ddcdfa]x5[-]\n製作 農地 [ddcdfa]x5[-]\n\n靠土地為生 - 等級 3 - 70% 加速 製作: 種子, 農地"
advancedFarmingKey,,,,,"Advanced Farming: Seeds Workbench, Farming [ddcdfa]x5[-]",,"Fortgeschritten Ackerbau: Samen Werkbank, Ackerbau [ddcdfa]x5[-]","Avanzado Agricultura: Semillas Mesa de trabajo, Agricultura [ddcdfa]x5[-]","Avancée Culture: Graines Établi, Culture [ddcdfa]x5[-]","Avanzato Coltivazione: Semi Banco da lavoro, Coltivazione [ddcdfa]x5[-]","高度回転 農業: 種子 作業台, 農業 [ddcdfa]x5[-]","고급 농사: 씨앗 작업대, 농사 [ddcdfa]x5[-]","Zaawansowane Rolnictwo: Nasiona Warsztat, Rolnictwo [ddcdfa]x5[-]","Avançado Colheita: Sementes Bancada, Colheita [ddcdfa]x5[-]","Улучшенный Фермерство: Семена Верстак, Фермерство [ddcdfa]x5[-]","Gelişmiş Çiftçilik: Tohumlar Çalışma Tezgâhı, Çiftçilik [ddcdfa]x5[-]","高级 种植: 种子 工作台, 种植 [ddcdfa]x5[-]","高級 耕作: 種子 工作臺, 耕作 [ddcdfa]x5[-]"
perkLivingOffTheLandRank3LongDesc,,,,,"Triple the harvest of wild or planted crops.\n\n[DECEA3]AGF FarmingPlus Mod: 70% Faster Crafting - Seeds Workbench",\n\n[DECEA3]AGF FarmingPlus Mod: 70%   -  ,"Verdreifache die Ernte von wilden oder angepflanzten Feldfrüchten.\n\n[DECEA3]AGF FarmingPlus Mod: 70% Schneller Fertigung - Samen Werkbank","Triplica la cosecha de los cultivos silvestres o plantados.\n\n[DECEA3]AGF FarmingPlus Mod: 70% Más rápido Artesanía - Semillas Mesa de trabajo","Triplez la récolte des éléments dans la nature ou dans les cultures.\n\n[DECEA3]AGF FarmingPlus Mod: 70% Accélérer Fabrication - Graines Établi","Triplica il raccolto dalle colture selvatiche o domestiche.\n\n[DECEA3]AGF FarmingPlus Mod: 70% Accelera Creazione - Semi Banco da lavoro","自分で育てた作物や自生している作物の収穫量が3倍になります。\n\n[DECEA3]AGF FarmingPlus Mod: 70% より早く クラフト - 種子 作業台","야생 식물이나 농작물에서 아이템을 3배로 채집합니다.\n\n[DECEA3]AGF FarmingPlus Mod: 70% 더 빠르게 제작 - 씨앗 작업대","Potrój zbiory z roślin dzikich lub zasadzonych.\n\n[DECEA3]AGF FarmingPlus Mod: 70% Szybciej Wytwarzanie - Nasiona Warsztat","Triplique a colheita de plantas selvagens ou cultivadas.\n\n[DECEA3]AGF FarmingPlus Mod: 70% Mais rápido Fabricação - Sementes Bancada","Собирайте дикорастущие или домашние растения в три раза успешнее.\n\n[DECEA3]AGF FarmingPlus Mod: 70% Быстрее Изготовление - Семена Верстак","Yabani veya üretilmiş ekinlerin hasadını üç katına çıkar.\n\n[DECEA3]AGF FarmingPlus Mod: 70% Hızlandır Üretim - Tohumlar Çalışma Tezgâhı","野生或种植作物的收获增加两倍。\n\n[DECEA3]AGF FarmingPlus Mod: 70% 快速 制作 - 种子 工作台","三倍收成野生或種植的作物。\n\n[DECEA3]AGF FarmingPlus Mod: 70% 加速 製作 - 種子 工作臺"
categoryFarming,,,,,"Farming",,"Ackerbau","Agricultura","Culture","Coltivazione","農業","농사","Rolnictwo","Colheita","Фермерство","Çiftçilik","种植","耕作"
categoryFarmingx5,,,,,"Farming [ddcdfa]x5[-]",,"Ackerbau [ddcdfa]x5[-]","Agricultura [ddcdfa]x5[-]","Culture [ddcdfa]x5[-]","Coltivazione [ddcdfa]x5[-]","農業 [ddcdfa]x5[-]","농사 [ddcdfa]x5[-]","Rolnictwo [ddcdfa]x5[-]","Colheita [ddcdfa]x5[-]","Фермерство [ddcdfa]x5[-]","Çiftçilik [ddcdfa]x5[-]","种植 [ddcdfa]x5[-]","耕作 [ddcdfa]x5[-]"
categoryFarmingx25,,,,,"Farming [ddcdfa]x25[-]",,"Ackerbau [ddcdfa]x25[-]","Agricultura [ddcdfa]x25[-]","Culture [ddcdfa]x25[-]","Coltivazione [ddcdfa]x25[-]","農業 [ddcdfa]x25[-]","농사 [ddcdfa]x25[-]","Rolnictwo [ddcdfa]x25[-]","Colheita [ddcdfa]x25[-]","Фермерство [ddcdfa]x25[-]","Çiftçilik [ddcdfa]x25[-]","种植 [ddcdfa]x25[-]","耕作 [ddcdfa]x25[-]"

plantedAloe1,blocks,Block,,,"[aaaaab][DECEA3]Seed[ffffff] Aloe Vera",,"[aaaaab][DECEA3]Samen[ffffff] Aloe Vera","[aaaaab][DECEA3]semilla[ffffff] Aloe vera","[aaaaab][DECEA3]graine[ffffff] Aloe vera","[aaaaab][DECEA3]seme[ffffff] Aloe vera","[aaaaab][DECEA3]種子[ffffff] アロエ（種子）","[aaaaab][DECEA3]씨앗[ffffff] 알로에베라","[aaaaab][DECEA3]nasiono[ffffff] Aloes","[aaaaab][DECEA3]semente[ffffff] Babosa","[aaaaab][DECEA3]семя[ffffff] Алоэ вера","[aaaaab][DECEA3]Tohum[ffffff] Aloe Vera","[aaaaab][DECEA3]种子[ffffff] 芦荟（种子）","[aaaaab][DECEA3]種子[ffffff] 蘆薈（種子）"
plantedAloe2,blocks,Block,,,"[DECEA3]Growing[ffffff] Aloe Vera",,"[DECEA3]Anbau[ffffff] Aloe Vera","[DECEA3]creciendo[ffffff] Aloe vera","[DECEA3]pousse[ffffff] Aloe vera","[DECEA3]in crescita[ffffff] Aloe vera","[DECEA3]生育中[ffffff] アロエ（生育中）","[DECEA3]성장 중[ffffff] 알로에베라","[DECEA3]rosnący[ffffff] Aloes","[DECEA3]cultivo[ffffff] Babosa","[DECEA3]растет[ffffff] Алоэ вера","[DECEA3]Yetişen[ffffff] Aloe Vera","[DECEA3]生长中[ffffff] 芦荟","[DECEA3]生長中[ffffff] 蘆薈"
