Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
treePlantedMountainPine12m,,,,,"[DECEA3]Growing (2/5) [ffffff]Mountain Pine",,"[DECEA3]Anbau (2/5) [ffffff]Bergkiefer","[DECEA3]creciendo (2/5) [ffffff]Pino de Montaña","[DECEA3]pousse (2/5) [ffffff]pin des montagnes","[DECEA3]in crescita (2/5) [ffffff]Pin des Montagnes","[DECEA3]生育中 (2/5) [ffffff]モンタナマツ","[DECEA3]성장 중 (2/5) [ffffff]소나무","[DECEA3]rosnący (2/5) [ffffff]sosna kłująca","[DECEA3]cultivo (2/5) [ffffff]Pinheiro da Montanha","[DECEA3]растет (2/5) [ffffff]горная сосна","[DECEA3]Yetişen (2/5) [ffffff]Dağ Çamı","[DECEA3]生长中 (2/5) [ffffff]山松","[DECEA3]生長中 (2/5) [ffffff]山松"
treePlantedMountainPine19m,,,,,"[DECEA3]Growing (3/5) [ffffff]Mountain Pine",,"[DECEA3]Anbau (3/5) [ffffff]Bergkiefer","[DECEA3]creciendo (3/5) [ffffff]Pino de Montaña","[DECEA3]pousse (3/5) [ffffff]pin des montagnes","[DECEA3]in crescita (3/5) [ffffff]Pin des Montagnes","[DECEA3]生育中 (3/5) [ffffff]モンタナマツ","[DECEA3]성장 중 (3/5) [ffffff]소나무","[DECEA3]rosnący (3/5) [ffffff]sosna kłująca","[DECEA3]cultivo (3/5) [ffffff]Pinheiro da Montanha","[DECEA3]растет (3/5) [ffffff]горная сосна","[DECEA3]Yetişen (3/5) [ffffff]Dağ Çamı","[DECEA3]生长中 (3/5) [ffffff]山松","[DECEA3]生長中 (3/5) [ffffff]山松"
treePlantedMountainPine1m,,,,,"[DECEA3]Seed-Trees [aaaaaa][ffffff]Mountain Pine",,"[DECEA3]Samen-Bäume [aaaaaa][ffffff]Bergkiefer","[DECEA3]semilla-Árboles [aaaaaa][ffffff]Pino de Montaña","[DECEA3]graine-Arbres [aaaaaa][ffffff]pin des montagnes","[DECEA3]seme-Alberi [aaaaaa][ffffff]Pin des Montagnes","[DECEA3]種子-木 [aaaaaa][ffffff]モンタナマツ","[DECEA3]씨앗-나무 [aaaaaa][ffffff]소나무","[DECEA3]nasiono-Drzewa [aaaaaa][ffffff]sosna kłująca","[DECEA3]semente-Árvores [aaaaaa][ffffff]Pinheiro da Montanha","[DECEA3]семя-Деревья [aaaaaa][ffffff]горная сосна","[DECEA3]Tohum-Ağaçlar [aaaaaa][ffffff]Dağ Çamı","[DECEA3]种子-树 [aaaaaa][ffffff]山松","[DECEA3]種子-樹木 [aaaaaa][ffffff]山松"
treePlantedMountainPine27m,,,,,"[DECEA3]Growing (4/5) [ffffff]Mountain Pine",,"[DECEA3]Anbau (4/5) [ffffff]Bergkiefer","[DECEA3]creciendo (4/5) [ffffff]Pino de Montaña","[DECEA3]pousse (4/5) [ffffff]pin des montagnes","[DECEA3]in crescita (4/5) [ffffff]Pin des Montagnes","[DECEA3]生育中 (4/5) [ffffff]モンタナマツ","[DECEA3]성장 중 (4/5) [ffffff]소나무","[DECEA3]rosnący (4/5) [ffffff]sosna kłująca","[DECEA3]cultivo (4/5) [ffffff]Pinheiro da Montanha","[DECEA3]растет (4/5) [ffffff]горная сосна","[DECEA3]Yetişen (4/5) [ffffff]Dağ Çamı","[DECEA3]生长中 (4/5) [ffffff]山松","[DECEA3]生長中 (4/5) [ffffff]山松"
treePlantedMountainPine41m,,,,,"[00ff00]Harvest (5/5) [ffffff]Mountain Pine",,"[00ff00]Sammeln (5/5) [ffffff]Bergkiefer","[00ff00]Cosechar (5/5) [ffffff]Pino de Montaña","[00ff00]Récolter (5/5) [ffffff]pin des montagnes","[00ff00]Raccogli (5/5) [ffffff]Pin des Montagnes","[00ff00]採取する： (5/5) [ffffff]モンタナマツ","[00ff00]수확 (5/5) [ffffff]소나무","[00ff00]Pozyskaj (5/5) [ffffff]sosna kłująca","[00ff00]Colher (5/5) [ffffff]Pinheiro da Montanha","[00ff00]Добыть (5/5) [ffffff]горная сосна","[00ff00]Topla (5/5) [ffffff]Dağ Çamı","[00ff00]收集 (5/5) [ffffff]山松","[00ff00]收穫 (5/5) [ffffff]山松"
treePlantedOak08m,,,,,"[DECEA3]Growing (2/5) [ffffff]Oak",,"[DECEA3]Anbau (2/5) [ffffff]Eiche","[DECEA3]creciendo (2/5) [ffffff]Roble","[DECEA3]pousse (2/5) [ffffff]chêne","[DECEA3]in crescita (2/5) [ffffff]Quercia","[DECEA3]生育中 (2/5) [ffffff]オーク","[DECEA3]성장 중 (2/5) [ffffff]오크","[DECEA3]rosnący (2/5) [ffffff]dąb","[DECEA3]cultivo (2/5) [ffffff]Carvalho","[DECEA3]растет (2/5) [ffffff]дуб","[DECEA3]Yetişen (2/5) [ffffff]Meşe","[DECEA3]生长中 (2/5) [ffffff]橡树 ","[DECEA3]生長中 (2/5) [ffffff]橡樹"
treePlantedOak16m,,,,,"[DECEA3]Growing (3/5) [ffffff]Oak",,"[DECEA3]Anbau (3/5) [ffffff]Eiche","[DECEA3]creciendo (3/5) [ffffff]Roble","[DECEA3]pousse (3/5) [ffffff]chêne","[DECEA3]in crescita (3/5) [ffffff]Quercia","[DECEA3]生育中 (3/5) [ffffff]オーク","[DECEA3]성장 중 (3/5) [ffffff]오크","[DECEA3]rosnący (3/5) [ffffff]dąb","[DECEA3]cultivo (3/5) [ffffff]Carvalho","[DECEA3]растет (3/5) [ffffff]дуб","[DECEA3]Yetişen (3/5) [ffffff]Meşe","[DECEA3]生长中 (3/5) [ffffff]橡树 ","[DECEA3]生長中 (3/5) [ffffff]橡樹"
treePlantedOak1m,,,,,"[DECEA3]Seed-Trees [aaaaaa][ffffff]Oak",,"[DECEA3]Samen-Bäume [aaaaaa][ffffff]Eiche","[DECEA3]semilla-Árboles [aaaaaa][ffffff]Roble","[DECEA3]graine-Arbres [aaaaaa][ffffff]chêne","[DECEA3]seme-Alberi [aaaaaa][ffffff]Quercia","[DECEA3]種子-木 [aaaaaa][ffffff]オーク","[DECEA3]씨앗-나무 [aaaaaa][ffffff]오크","[DECEA3]nasiono-Drzewa [aaaaaa][ffffff]dąb","[DECEA3]semente-Árvores [aaaaaa][ffffff]Carvalho","[DECEA3]семя-Деревья [aaaaaa][ffffff]дуб","[DECEA3]Tohum-Ağaçlar [aaaaaa][ffffff]Meşe","[DECEA3]种子-树 [aaaaaa][ffffff]橡树 ","[DECEA3]種子-樹木 [aaaaaa][ffffff]橡樹"
treePlantedOak27m,,,,,"[DECEA3]Growing (4/5) [ffffff]Oak",,"[DECEA3]Anbau (4/5) [ffffff]Eiche","[DECEA3]creciendo (4/5) [ffffff]Roble","[DECEA3]pousse (4/5) [ffffff]chêne","[DECEA3]in crescita (4/5) [ffffff]Quercia","[DECEA3]生育中 (4/5) [ffffff]オーク","[DECEA3]성장 중 (4/5) [ffffff]오크","[DECEA3]rosnący (4/5) [ffffff]dąb","[DECEA3]cultivo (4/5) [ffffff]Carvalho","[DECEA3]растет (4/5) [ffffff]дуб","[DECEA3]Yetişen (4/5) [ffffff]Meşe","[DECEA3]生长中 (4/5) [ffffff]橡树 ","[DECEA3]生長中 (4/5) [ffffff]橡樹"
treePlantedOak41m,,,,,"[00ff00]Harvest (5/5) [ffffff]Oak",,"[00ff00]Sammeln (5/5) [ffffff]Eiche","[00ff00]Cosechar (5/5) [ffffff]Roble","[00ff00]Récolter (5/5) [ffffff]chêne","[00ff00]Raccogli (5/5) [ffffff]Quercia","[00ff00]採取する： (5/5) [ffffff]オーク","[00ff00]수확 (5/5) [ffffff]오크","[00ff00]Pozyskaj (5/5) [ffffff]dąb","[00ff00]Colher (5/5) [ffffff]Carvalho","[00ff00]Добыть (5/5) [ffffff]дуб","[00ff00]Topla (5/5) [ffffff]Meşe","[00ff00]收集 (5/5) [ffffff]橡树 ","[00ff00]收穫 (5/5) [ffffff]橡樹"
