Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
xuiOptionsAudioAOPSoundSwap,UI,MainMenu,,,"Sound Swap",,"Sound-Tausch","Intercambio de sonidos","Permutation des sons","Scambio suoni","サウンド差し替え","사운드 교체","Podmiana dźwięków","Troca de sons","Замена звуков","Ses Değişimi","声音替换","聲音替換"
xuiOptionsAudioAOPSoundSwap1SillySoundsEnabled,UI,MainMenu,,,"Silly Sounds",,"Alberne Sounds","Sonidos graciosos","Sons amusants","Suoni divertenti","おもしろサウンド","재미 사운드","Zabawne dźwięki","Sons divertidos","Забавные звуки","Eğlenceli Sesler","搞笑音效","搞笑音效"
xuiOptionsAudioAOPSoundSwap1SillySoundsEnabledTooltip,UI,MainMenu,,,"Turns Silly Sounds from Twitch Integration on or off.",,"Schaltet alberne Sounds aus der Twitch-Integration ein oder aus.","Activa o desactiva los sonidos graciosos de la integración de Twitch.","Active ou désactive les sons amusants de l'intégration Twitch.","Attiva o disattiva i suoni divertenti dell'integrazione Twitch.","Twitch連携のおもしろサウンドをオンまたはオフにします。","Twitch 연동 재미 사운드를 켜거나 끕니다.","Włącza lub wyłącza zabawne dźwięki z integracji Twitch.","Ativa ou desativa os sons divertidos da integração com a Twitch.","Включает или отключает забавные звуки из интеграции Twitch.","Twitch entegrasyonundaki eğlenceli sesleri açar veya kapatır.","开启或关闭 Twitch 集成的搞笑音效。","開啟或關閉 Twitch 整合的搞笑音效。"
xuiOptionsAudioAOPSoundSwap1SillySoundsSettingOff,UI,MainMenu,,,"Off",,"Aus","Desactivado","Désactivé","Disattivato","オフ","끔","Wył.","Desativado","Выкл.","Kapalı","关闭","關閉"
xuiOptionsAudioAOPSoundSwap1SillySoundsSettingOn,UI,MainMenu,,,"On",,"An","Activado","Activé","Attivato","オン","켬","Wł.","Ativado","Вкл.","Açık","开启","開啟"
xuiOptionsAudioAOPSoundSwapAnimalPainDeathSoundPreset,UI,MainMenu,,,"Animal Pain and Death Sound Preset",,"Voreinstellung für Tier-Schmerz- und Todesgeräusche","Preajuste de sonidos de dolor y muerte de animales","Préréglage des sons de douleur et de mort des animaux","Preset suoni di dolore e morte degli animali","動物の痛み・死亡音プリセット","동물 고통/사망 사운드 프리셋","Preset dźwięków bólu i śmierci zwierząt","Predefinição de sons de dor e morte de animais","Пресет звуков боли и смерти животных","Hayvan Acı ve Ölüm Sesi Ön Ayarı","动物受伤与死亡音效预设","動物受傷與死亡音效預設"
xuiOptionsAudioAOPSoundSwapAnimalPainDeathSoundPreset0,UI,MainMenu,,,"All Default",,"Alle Standard","Todos predeterminados","Tout par défaut","Tutti predefiniti","すべてデフォルト","모두 기본값","Wszystkie domyślne","Todos padrão","Все по умолчанию","Tümü varsayılan","全部默认","全部預設"
xuiOptionsAudioAOPSoundSwapAnimalPainDeathSoundPreset1,UI,MainMenu,,,"All Swapped",,"Alle ausgetauscht","Todos intercambiados","Tout remplacé","Tutti sostituiti","すべて差し替え済み","모두 교체됨","Wszystkie podmienione","Todos substituídos","Все заменены","Tümü değiştirildi","全部已替换","全部已替換"
xuiOptionsAudioAOPSoundSwapAnimalPainDeathSoundPreset2,UI,MainMenu,,,"Custom",,"Benutzerdefiniert","Personalizado","Personnalisé","Personalizzato","カスタム","사용자 지정","Niestandardowy","Personalizado","Пользовательский","Özel","自定义","自訂"
xuiOptionsAudioAOPSoundSwapAnimalPainDeathSoundPresetTooltip,UI,MainMenu,,,"Sets all animal pain and death sound options at once. Individual animal controls remain available.",,"Setzt alle Optionen für Tier-Schmerz- und Todesgeräusche auf einmal. Einzelne Tiersteuerungen bleiben verfügbar.","Establece de una vez todas las opciones de sonido de dolor y muerte de animales. Los controles por animal siguen disponibles.","Définit d'un coup toutes les options de sons de douleur et de mort des animaux. Les contrôles individuels restent disponibles.","Imposta in una volta sola tutte le opzioni dei suoni di dolore e morte degli animali. I controlli individuali restano disponibili.","動物の痛み・死亡音オプションをまとめて設定します。個別の動物ごとの設定も利用できます。","동물 고통/사망 사운드 옵션을 한 번에 설정합니다. 개별 동물 제어도 계속 사용할 수 있습니다.","Ustawia jednocześnie wszystkie opcje dźwięków bólu i śmierci zwierząt. Indywidualne ustawienia zwierząt pozostają dostępne.","Define de uma vez todas as opções de sons de dor e morte de animais. Os controles individuais por animal continuam disponíveis.","Устанавливает сразу все параметры звуков боли и смерти животных. Индивидуальные настройки по животным остаются доступны.","Tüm hayvan acı ve ölüm sesi seçeneklerini tek seferde ayarlar. Bireysel hayvan kontrolleri kullanılabilir kalır.","一次设置所有动物受伤与死亡音效选项。各动物的单独控制仍然可用。","一次設定所有動物受傷與死亡音效選項。各動物的個別控制仍可使用。"
