Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
assassinSetBonusAGF,ui_display,Item stat,,,"Become hidden faster",,"Werde schneller verborgen","Se esconde un más rápido","Vous vous cachez plus rapidement","Ti nascondi il più velocemente","早く身を隠すことができます","더 빨리 숨을 수 있습니다","Ukrywasz się o szybciej","Fique oculto mais rapidamente","Вы будете переходить в режим скрытности на быстрее","daha hızlı gizlen","隐藏速度提高","匿蹤速度提高"
athleticSetBonusAGF,ui_display,Item stat,,,"Use Less Food and Water",,"Verbrauche Weniger Nahrung und Wasser","Usa un Menos de Comida y Agua","Vous consommez de nourriture et d'eau en moins","Usa il in meno di cibo e acqua","食料と水の消費が 少なくなります","음식과 물을 덜 사용합니다","Zużywasz o mniej żywności i wody","Use menos comida e água","Снижает потребление воды и еды на","daha az yiyecek ve su kullanırsın","食物和水的消耗减少","消耗的水和食物減少"
bikerSetBonusAGF,ui_display,Item stat,,,"Armor Rating / Motorcycle: Use -Fuel",,"Rüstungswert / Motorrad: Benutzen -Brennstoff","Índice de blindaje / Moto: Usar -Combustible","Résistance d'armure / Cyclomoteur: Utiliser -Carburant","Valore armatura / Motocicletta: Usa -Benzina","アーマー値 / オートバイ: 使用： -燃料","갑옷 등급 / 오토바이: 사용 -연료","Poziom ochrony pancerza / Motocykl: Użyj -Paliwo","Classe de armadura / Motocicleta: Usar -Combustível","Ранг брони / Мотоцикл: Использовать -Топливо","Zırh Derecesi / Motosiklet: Kullan -Yakıt","护甲等级 / 摩托车: 使用 -燃料","護甲等級 / 機車: 使用 -燃料"
checklistHovering,Core,checklist,,,"(Hover Cursor)",,"(Bewege die Maus über)","(Posa el ratón)","(Curseur de survol)","(Cursore passante)","(の上にカーソルを重ね)","(호버 커서)","(Najedź kursorem)","(Passe o cursor)","(Наведите указатель мыши на)","(üzerine gel)","(悬停在)","(懸停在)"
checklistZoomArmor,Core,checklist,,,"(Zoom In - Select Armor)",( -  ),"(Heranzoomen - AUSWÄHLEN Rüstung)","(Acercar - SELECCIONAR Armadura)","(Zoomer - SÉLECTIONNER Armure)","(Zoom in avanti - SELEZIONA Armatura)","(ズームイン - 選択 アーマー)","(줌인 - 선택 방어구)","(Zbliż - WYBIERZ Pancerz)","(Aproximar - SELECIONAR Armadura)","(Приблизить - ВЫБРАТЬ Броня)","(Yakınlaştır - SEÇ Zırh)","(放大 - 选择 护甲)","(放大 - 選擇 護甲)"
checklistZoomMagazine,Core,checklist,,,"(Zoom In - Select Magazine)",,"(Heranzoomen - AUSWÄHLEN Magazin)","(Acercar - SELECCIONAR Revista)","(Zoomer - SÉLECTIONNER Magazine)","(Zoom in avanti - SELEZIONA Rivista)","(ズームイン - 選択 雑誌)","(줌인 - 선택 매거진)","(Zbliż - WYBIERZ Magazynek)","(Aproximar - SELECIONAR Revista)","(Приблизить - ВЫБРАТЬ Магазин)","(Yakınlaştır - SEÇ Dergi)","(放大 - 选择 弹匣)","(放大 - 選擇 雜誌)"
checklistSchematicsTitle,Core,checklist,,,"Crafting List",,"Herstellung","Fabricación","Fabrication","Creazione","クラフト","생산하다","Rzemiosło","Fabricar","Pемесло","Üretme","制造业","製造業"
commandoSetBonusAGF,ui_display,Item stat,,,"Treated Crit Healing Speed", ,"Behandelte Krit.-Heilung Geschwindigkeit","Curación de daño crítico tratado Velocidad","Guérison de critique traité Vitesse","Guarigione critici curati Velocità","治療済み重症回復 速度","치료한 치명타 회복 속도","Leczenie kryt. Prędkość","Cura Crítica Tratada Velocidade","Восстановление при лечении критических повреждений Скорость","Tedavi Edilen Kritik İyileştirme Hız","已处理的暴击治疗 速度","爆擊治療已醫治 速度"
enforcerSetBonusAGF,ui_display,Item stat,,,"Magnum: Damage / Reload Speed",,"Magnum: Schaden / Nachladegeschwindigkeit","Magnum: Daños / Velocidad de recarga","Magnum: Dégâts / Vitesse de rechargement","Magnum: Danno / Velocità di ricarica","マグナム: ダメージ / リロード速度","매그넘: 대미지 / 재장전 속도","Magnum: Obrażenia / Szybkość przeładowania","Magnum: Dano / Velocidade de recarga","Magnum: Урон / Скорость перезагрузки","Magnum: Hasar / Doldurma Hızı","马格南: 伤害 / 重新装填速度","馬格南手槍: 傷害 / 重新載入速度"
farmerSetBonusAGF,ui_display,Item stat,,,"Food: +Health / +Stamina",,"Nahrung: +Gesundheit / +Ausdauer","Comida: +Salud / +Resistencia","Nourriture: +Santé / +Endurance","Cibo: +Salute / +Vigore","食料: +体力 / +スタミナ","음식: +체력 / +스태미너","Żywność: +Zdrowie / +Wytrzymałość","Comida: +Saúde / +Vigor","Еда: +Здоровье / +Выносливость","Yiyecek: +Sağlık / +Dayanıklılık","食物: +生命值 / +体力值","食物: +生命值 / +耐力"
