Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
plantedAloe1,blocks,Block,,,"[aaaaab][DECEA3]Seed[ffffff] Aloe Vera",,"[aaaaab][DECEA3]Samen[ffffff] Aloe Vera","[aaaaab][DECEA3]semilla[ffffff] Aloe vera","[aaaaab][DECEA3]graine[ffffff] Aloe vera","[aaaaab][DECEA3]seme[ffffff] Aloe vera","[aaaaab][DECEA3]種子[ffffff] アロエ（種子）","[aaaaab][DECEA3]씨앗[ffffff] 알로에베라","[aaaaab][DECEA3]nasiono[ffffff] Aloes","[aaaaab][DECEA3]semente[ffffff] Babosa","[aaaaab][DECEA3]семя[ffffff] Алоэ вера","[aaaaab][DECEA3]Tohum[ffffff] Aloe Vera","[aaaaab][DECEA3]种子[ffffff] 芦荟（种子）","[aaaaab][DECEA3]種子[ffffff] 蘆薈（種子）"
plantedAloe2,blocks,Block,,,"[DECEA3]Growing[ffffff] Aloe Vera",,"[DECEA3]Anbau[ffffff] Aloe Vera","[DECEA3]creciendo[ffffff] Aloe vera","[DECEA3]pousse[ffffff] Aloe vera","[DECEA3]in crescita[ffffff] Aloe vera","[DECEA3]生育中[ffffff] アロエ（生育中）","[DECEA3]성장 중[ffffff] 알로에베라","[DECEA3]rosnący[ffffff] Aloes","[DECEA3]cultivo[ffffff] Babosa","[DECEA3]растет[ffffff] Алоэ вера","[DECEA3]Yetişen[ffffff] Aloe Vera","[DECEA3]生长中[ffffff] 芦荟","[DECEA3]生長中[ffffff] 蘆薈"
plantedAloe3HarvestDesc,blocks,Block,,,"[00ff00]Harvest[ffffff] Aloe Vera Plant",,"[00ff00]Sammeln[ffffff] Aloe-Vera-Pflanze","[00ff00]Cosechar[ffffff] Planta de aloe vera","[00ff00]Récolter[ffffff] Plant d'aloe vera","[00ff00]Raccogli[ffffff] Pianta di aloe vera","[00ff00]採取する：[ffffff] アロエ","[00ff00]수확[ffffff] 알로에베라","[00ff00]Pozyskaj[ffffff] Aloes — roślina","[00ff00]Colher[ffffff] Planta de babosa","[00ff00]Добыть[ffffff] Растение «Алоэ вера»","[00ff00]Topla[ffffff] Aloe Vera Bitkisi","[00ff00]收集[ffffff] 芦荟植株","[00ff00]收穫[ffffff] 蘆薈植株"
plantedBlueberry1,blocks,Block,,,"[aaaaab][DECEA3]Seed[ffffff] Blueberry",,"[aaaaab][DECEA3]Samen[ffffff] Heidelbeeren","[aaaaab][DECEA3]semilla[ffffff] Mora","[aaaaab][DECEA3]graine[ffffff] Myrtille","[aaaaab][DECEA3]seme[ffffff] Mirtilli","[aaaaab][DECEA3]種子[ffffff] ブルーベリー（種子）","[aaaaab][DECEA3]씨앗[ffffff] 블루베리","[aaaaab][DECEA3]nasiono[ffffff] Czarna jagoda","[aaaaab][DECEA3]semente[ffffff] Mirtilo","[aaaaab][DECEA3]семя[ffffff] Черника","[aaaaab][DECEA3]Tohum[ffffff] Yabanmersini","[aaaaab][DECEA3]种子[ffffff] 蓝莓（种子）","[aaaaab][DECEA3]種子[ffffff] 藍莓（種子）"
plantedBlueberry2,blocks,Block,,,"[DECEA3]Growing[ffffff] Blueberry",,"[DECEA3]Anbau[ffffff] Heidelbeeren","[DECEA3]creciendo[ffffff] Mora","[DECEA3]pousse[ffffff] Myrtille","[DECEA3]in crescita[ffffff] Mirtilli","[DECEA3]生育中[ffffff] ブルーベリー（生育中）","[DECEA3]성장 중[ffffff] 블루베리","[DECEA3]rosnący[ffffff] Czarna jagoda","[DECEA3]cultivo[ffffff] Mirtilo","[DECEA3]растет[ffffff] Черника","[DECEA3]Yetişen[ffffff] Yabanmersini","[DECEA3]生长中[ffffff] 蓝莓","[DECEA3]生長中[ffffff] 藍莓"
plantedBlueberry3HarvestDesc,blocks,Block,,,"[00ff00]Harvest[ffffff] Blueberry Plant",,"[00ff00]Sammeln[ffffff] Heidelbeerpflanze","[00ff00]Cosechar[ffffff] Planta de moras","[00ff00]Récolter[ffffff] Plant de myrtille","[00ff00]Raccogli[ffffff] Pianta di mirtilli","[00ff00]採取する：[ffffff] ブルーベリー","[00ff00]수확[ffffff] 블루베리","[00ff00]Pozyskaj[ffffff] Czarna jagoda — roślina","[00ff00]Colher[ffffff] Planta de mirtilo","[00ff00]Добыть[ffffff] Растение «Черника»","[00ff00]Topla[ffffff] Yabanmersini Bitkisi","[00ff00]收集[ffffff] 蓝莓植株","[00ff00]收穫[ffffff] 藍莓植株"
plantedChrysanthemum1,blocks,Block,,,"[aaaaab][DECEA3]Seed[ffffff] Chrysanthemum",,"[aaaaab][DECEA3]Samen[ffffff] Chrysantheme","[aaaaab][DECEA3]semilla[ffffff] Crisantemo","[aaaaab][DECEA3]graine[ffffff] Chrysanthème","[aaaaab][DECEA3]seme[ffffff] Crisantemo","[aaaaab][DECEA3]種子[ffffff] 菊（種子）","[aaaaab][DECEA3]씨앗[ffffff] 국화","[aaaaab][DECEA3]nasiono[ffffff] Chryzantema","[aaaaab][DECEA3]semente[ffffff] Crisântemo","[aaaaab][DECEA3]семя[ffffff] Хризантема","[aaaaab][DECEA3]Tohum[ffffff] Krizantem","[aaaaab][DECEA3]种子[ffffff] 菊花（种子）","[aaaaab][DECEA3]種子[ffffff] 菊花（種子）"
plantedChrysanthemum2,blocks,Block,,,"[DECEA3]Growing[ffffff] Chrysanthemum",,"[DECEA3]Anbau[ffffff] Chrysantheme","[DECEA3]creciendo[ffffff] Crisantemo","[DECEA3]pousse[ffffff] Chrysanthème","[DECEA3]in crescita[ffffff] Crisantemo","[DECEA3]生育中[ffffff] 菊（生育中）","[DECEA3]성장 중[ffffff] 국화","[DECEA3]rosnący[ffffff] Chryzantema","[DECEA3]cultivo[ffffff] Crisântemo","[DECEA3]растет[ffffff] Хризантема","[DECEA3]Yetişen[ffffff] Krizantem","[DECEA3]生长中[ffffff] 菊花","[DECEA3]生長中[ffffff] 菊花"
plantedChrysanthemum3HarvestDesc,blocks,Block,,,"[00ff00]Harvest[ffffff] Chrysanthemum",,"[00ff00]Sammeln[ffffff] Chrysantheme","[00ff00]Cosechar[ffffff] Crisantemo","[00ff00]Récolter[ffffff] Chrysanthème","[00ff00]Raccogli[ffffff] Crisantemo","[00ff00]採取する：[ffffff] 菊","[00ff00]수확[ffffff] 국화","[00ff00]Pozyskaj[ffffff] Chryzantema","[00ff00]Colher[ffffff] Crisântemo","[00ff00]Добыть[ffffff] Хризантема","[00ff00]Topla[ffffff] Krizantem","[00ff00]收集[ffffff] 菊花","[00ff00]收穫[ffffff] 菊花"
plantedCoffee1,blocks,Block,,,"[aaaaab][DECEA3]Seed[ffffff] Coffee",,"[aaaaab][DECEA3]Samen[ffffff] Kaffee","[aaaaab][DECEA3]semilla[ffffff] Café","[aaaaab][DECEA3]graine[ffffff] Café","[aaaaab][DECEA3]seme[ffffff] Caffè","[aaaaab][DECEA3]種子[ffffff] コーヒー（種子）","[aaaaab][DECEA3]씨앗[ffffff] 커피","[aaaaab][DECEA3]nasiono[ffffff] Kawa","[aaaaab][DECEA3]semente[ffffff] Café","[aaaaab][DECEA3]семя[ffffff] Кофейное дерево","[aaaaab][DECEA3]Tohum[ffffff] Kahve","[aaaaab][DECEA3]种子[ffffff] 咖啡（种子）","[aaaaab][DECEA3]種子[ffffff] 咖啡（種子）"
plantedCoffee2,blocks,Block,,,"[DECEA3]Growing[ffffff] Coffee",,"[DECEA3]Anbau[ffffff] Kaffee","[DECEA3]creciendo[ffffff] Café","[DECEA3]pousse[ffffff] Café","[DECEA3]in crescita[ffffff] Caffè","[DECEA3]生育中[ffffff] コーヒー（生育中）","[DECEA3]성장 중[ffffff] 커피","[DECEA3]rosnący[ffffff] Kawa","[DECEA3]cultivo[ffffff] Café","[DECEA3]растет[ffffff] Кофейное дерево","[DECEA3]Yetişen[ffffff] Kahve","[DECEA3]生长中[ffffff] 咖啡","[DECEA3]生長中[ffffff] 咖啡"
plantedCoffee3HarvestDesc,blocks,Block,,,"[00ff00]Harvest[ffffff] Coffee Plant",,"[00ff00]Sammeln[ffffff] Kaffeepflanze","[00ff00]Cosechar[ffffff] Planta de café","[00ff00]Récolter[ffffff] Plant de café","[00ff00]Raccogli[ffffff] Pianta di caffè","[00ff00]採取する：[ffffff] コーヒー","[00ff00]수확[ffffff] 커피","[00ff00]Pozyskaj[ffffff] Kawa — roślina","[00ff00]Colher[ffffff] Planta de café","[00ff00]Добыть[ffffff] Растение «Кофейное дерево»","[00ff00]Topla[ffffff] Kahve Bitkisi","[00ff00]收集[ffffff] 咖啡植株","[00ff00]收穫[ffffff] 咖啡樹"
